name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
"City of Grayling, Precinct 1",78,15,61,1
"Beaver Creek Township, Precinct 1",187,35,76,2
"Grayling Charter Township, Precinct 305",131,21,100,0
"Grayling Charter Township, Precinct 306",208,28,125,0
"Frederic Township, Precinct 1",127,15,67,2
"South Branch Township, Precinct 1",210,29,46,0
"Maple Forest Township, Precinct 1",87,26,26,0
"Lovells Township, Precinct 1",98,24,44,0
"Grayling Charter Township, Precinct 304",248,38,140,0
