name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Grayling, Precinct 1",86,17,55,1
"Beaver Creek Township, Precinct 1",63,19,99,0
"Grayling Charter Township, Precinct 305",86,15,103,0
"Grayling Charter Township, Precinct 306",81,8,113,0
"Frederic Township, Precinct 1",58,7,91,0
"South Branch Township, Precinct 1",83,9,142,0
"Maple Forest Township, Precinct 1",21,3,37,0
"Lovells Township, Precinct 1",25,6,52,0
"Grayling Charter Township, Precinct 304",118,17,156,0
