name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"City of Grayling, Precinct 1",118,39,1
"Beaver Creek Township, Precinct 1",145,36,1
"Grayling Charter Township, Precinct 305",147,56,0
"Grayling Charter Township, Precinct 306",163,38,0
"Frederic Township, Precinct 1",122,33,0
"South Branch Township, Precinct 1",197,30,0
"Maple Forest Township, Precinct 1",54,9,0
"Lovells Township, Precinct 1",65,20,0
"Grayling Charter Township, Precinct 304",219,70,0
