name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Grayling, Precinct 1",44,64,47,1,1
"Beaver Creek Township, Precinct 1",32,141,122,4,2
"Grayling Charter Township, Precinct 305",41,100,107,7,1
"Grayling Charter Township, Precinct 306",34,174,148,11,1
"Frederic Township, Precinct 1",26,92,90,4,1
"South Branch Township, Precinct 1",46,119,116,2,4
"Maple Forest Township, Precinct 1",26,53,57,4,0
"Lovells Township, Precinct 1",30,73,57,3,1
"Grayling Charter Township, Precinct 304",63,205,137,15,1
