id,name,board,Jack Bergman,Matthew DenOtter,Justin Michal,registered,ballots,over_votes,under_votes,total,turnout,Write-in
337174000001,"City of Sault Ste. Marie, Precinct 1",,215,35,17,3811,849,0,0,267,22.28,0
337174000002,"City of Sault Ste. Marie, Precinct 2",,234,52,23,3383,786,0,0,309,23.23,0
337174000003,"City of Sault Ste. Marie, Precinct 3",,226,48,32,3058,796,0,0,306,26.03,1
330607000001,"Bay Mills Township, Precinct 1",,88,12,12,1386,354,0,0,112,25.54,1
331128000001,"Bruce Township, Precinct 1",,227,24,36,1843,547,0,0,287,29.68,1
331556000001,"Chippewa Township, Precinct 1",,24,4,1,186,45,0,0,29,24.19,0
331954000001,"Dafter Township, Precinct 1",,132,18,15,1068,285,0,0,165,26.69,0
332177000001,"DeTour Township, Precinct 1",,134,15,28,722,321,0,0,177,44.46,0
332308000001,"Drummond Island Township, Precinct 1",,199,25,24,1116,423,0,0,248,37.90,1
333986000001,"Hulbert Township, Precinct 1",,24,2,2,150,46,0,0,28,30.67,0
334348000001,"Kinross Township, Precinct 1",,220,71,23,2826,589,0,0,314,20.84,1
336398000001,"Pickford Township, Precinct 1",,232,26,32,1421,436,0,0,290,30.68,0
336676000001,"Raber Township, Precinct 1",,90,11,14,599,223,0,0,115,37.23,0
337022000001,"Rudyard Township, Precinct 1",,170,36,18,1145,345,0,0,224,30.13,1
337462000001,"Soo Township, Precinct 1",,431,45,38,2811,945,0,0,514,33.62,2
337702000001,"Sugar Island Township, Precinct 1",,98,19,13,704,250,0,0,130,35.51,1
337754000001,"Superior Township, Precinct 1",,120,31,15,1150,316,0,0,166,27.48,0
338060000001,"Trout Lake Township, Precinct 1",,64,3,6,346,117,0,0,73,33.82,0
338670000001,"Whitefish Township, Precinct 1",,96,25,8,575,237,0,0,129,41.22,0
