id,name,board,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,registered,ballots,over_votes,under_votes,total,turnout,Write-in
337174000001,"City of Sault Ste. Marie, Precinct 1",,346,29,151,3811,849,0,0,526,22.28,1
337174000002,"City of Sault Ste. Marie, Precinct 2",,229,17,174,3383,786,0,0,420,23.23,0
337174000003,"City of Sault Ste. Marie, Precinct 3",,235,26,170,3058,796,0,0,431,26.03,1
330607000001,"Bay Mills Township, Precinct 1",,136,13,75,1386,354,0,0,224,25.54,0
331128000001,"Bruce Township, Precinct 1",,87,8,121,1843,547,0,0,216,29.68,0
331556000001,"Chippewa Township, Precinct 1",,4,3,7,186,45,0,0,14,24.19,1
331954000001,"Dafter Township, Precinct 1",,52,6,40,1068,285,0,0,98,26.69,0
332177000001,"DeTour Township, Precinct 1",,58,7,70,722,321,0,0,135,44.46,0
332308000001,"Drummond Island Township, Precinct 1",,54,3,95,1116,423,0,0,152,37.90,0
333986000001,"Hulbert Township, Precinct 1",,5,2,9,150,46,0,0,16,30.67,0
334348000001,"Kinross Township, Precinct 1",,122,17,102,2826,589,0,0,241,20.84,1
336398000001,"Pickford Township, Precinct 1",,63,8,52,1421,436,0,0,123,30.68,0
336676000001,"Raber Township, Precinct 1",,32,6,55,599,223,0,0,93,37.23,0
337022000001,"Rudyard Township, Precinct 1",,48,6,49,1145,345,0,0,103,30.13,0
337462000001,"Soo Township, Precinct 1",,196,20,164,2811,945,0,0,380,33.62,0
337702000001,"Sugar Island Township, Precinct 1",,40,10,59,704,250,0,0,109,35.51,0
337754000001,"Superior Township, Precinct 1",,68,7,64,1150,316,0,0,139,27.48,0
338060000001,"Trout Lake Township, Precinct 1",,16,1,24,346,117,0,0,41,33.82,0
338670000001,"Whitefish Township, Precinct 1",,41,11,51,575,237,0,0,103,41.22,0
