id,name,board,Callie Barr,Kyle Blomquist,Wayne Stiles,registered,ballots,over_votes,under_votes,total,turnout,Write-in
337174000001,"City of Sault Ste. Marie, Precinct 1",,228,262,24,3811,849,0,0,514,22.28,3
337174000002,"City of Sault Ste. Marie, Precinct 2",,180,204,18,3383,786,0,0,402,23.23,0
337174000003,"City of Sault Ste. Marie, Precinct 3",,211,177,29,3058,796,0,0,417,26.03,2
330607000001,"Bay Mills Township, Precinct 1",,97,108,10,1386,354,0,0,215,25.54,0
331128000001,"Bruce Township, Precinct 1",,121,74,8,1843,547,0,0,203,29.68,0
331556000001,"Chippewa Township, Precinct 1",,7,3,3,186,45,0,0,13,24.19,1
331954000001,"Dafter Township, Precinct 1",,53,37,3,1068,285,0,0,93,26.69,1
332177000001,"DeTour Township, Precinct 1",,67,52,11,722,321,0,0,130,44.46,0
332308000001,"Drummond Island Township, Precinct 1",,91,40,13,1116,423,0,0,144,37.90,0
333986000001,"Hulbert Township, Precinct 1",,9,6,0,150,46,0,0,15,30.67,0
334348000001,"Kinross Township, Precinct 1",,124,95,9,2826,589,0,0,228,20.84,2
336398000001,"Pickford Township, Precinct 1",,65,48,4,1421,436,0,0,117,30.68,0
336676000001,"Raber Township, Precinct 1",,66,18,5,599,223,0,0,89,37.23,0
337022000001,"Rudyard Township, Precinct 1",,42,49,5,1145,345,0,0,96,30.13,0
337462000001,"Soo Township, Precinct 1",,185,162,22,2811,945,0,0,369,33.62,0
337702000001,"Sugar Island Township, Precinct 1",,62,40,4,704,250,0,0,106,35.51,1
337754000001,"Superior Township, Precinct 1",,73,54,8,1150,316,0,0,135,27.48,0
338060000001,"Trout Lake Township, Precinct 1",,29,6,3,346,117,0,0,38,33.82,0
338670000001,"Whitefish Township, Precinct 1",,65,29,3,575,237,0,0,97,41.22,1
