id,name,board,Mike Rogers,registered,ballots,over_votes,under_votes,total,turnout,Write-in
337174000001,"City of Sault Ste. Marie, Precinct 1",,262,3811,849,0,0,262,22.28,0
337174000002,"City of Sault Ste. Marie, Precinct 2",,298,3383,786,0,0,298,23.23,2
337174000003,"City of Sault Ste. Marie, Precinct 3",,291,3058,796,0,0,291,26.03,2
330607000001,"Bay Mills Township, Precinct 1",,110,1386,354,0,0,110,25.54,2
331128000001,"Bruce Township, Precinct 1",,273,1843,547,0,0,273,29.68,2
331556000001,"Chippewa Township, Precinct 1",,28,186,45,0,0,28,24.19,0
331954000001,"Dafter Township, Precinct 1",,162,1068,285,0,0,162,26.69,0
332177000001,"DeTour Township, Precinct 1",,171,722,321,0,0,171,44.46,0
332308000001,"Drummond Island Township, Precinct 1",,241,1116,423,0,0,241,37.90,0
333986000001,"Hulbert Township, Precinct 1",,27,150,46,0,0,27,30.67,0
334348000001,"Kinross Township, Precinct 1",,303,2826,589,0,0,303,20.84,0
336398000001,"Pickford Township, Precinct 1",,283,1421,436,0,0,283,30.68,0
336676000001,"Raber Township, Precinct 1",,111,599,223,0,0,111,37.23,0
337022000001,"Rudyard Township, Precinct 1",,224,1145,345,0,0,224,30.13,1
337462000001,"Soo Township, Precinct 1",,497,2811,945,0,0,497,33.62,0
337702000001,"Sugar Island Township, Precinct 1",,123,704,250,0,0,123,35.51,2
337754000001,"Superior Township, Precinct 1",,159,1150,316,0,0,159,27.48,0
338060000001,"Trout Lake Township, Precinct 1",,71,346,117,0,0,71,33.82,0
338670000001,"Whitefish Township, Precinct 1",,122,575,237,0,0,122,41.22,0
