id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
770084000001,"Alamo Township, Precinct 1",197,23,0,0
770084000002,"Alamo Township, Precinct 2",303,39,0,0
770992000001,"Brady Charter Township, Precinct 1",259,39,1,0
770992000002,"Brady Charter Township, Precinct 2",179,27,0,0
771472000001,"Charleston Township, Precinct 1",204,40,2,0
771646000001,"Climax Township, Precinct 1",216,51,0,0
771768000001,"Comstock Charter Township, Precinct 1",325,49,1,0
771768000002,"Comstock Charter Township, Precinct 2",342,46,2,0
771768000003,"Comstock Charter Township, Precinct 3",243,33,1,0
771768000004,"Comstock Charter Township, Precinct 4",289,41,1,0
771768000005,"Comstock Charter Township, Precinct 5",608,89,1,0
771768000006,"Comstock Charter Township, Precinct 6",293,36,0,0
771798000001,"Cooper Charter Township, Precinct 1",213,31,0,0
771798000002,"Cooper Charter Township, Precinct 2",246,38,2,0
771798000003,"Cooper Charter Township, Precinct 3",562,104,2,0
771798000004,"Cooper Charter Township, Precinct 4",424,51,0,0
773126000001,"Galesburg City, Precinct 1",151,24,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",53,8,0,0
774218000002,"Kalamazoo Charter Township, Precinct 2",810,106,2,0
774218000003,"Kalamazoo Charter Township, Precinct 3",1109,105,0,0
774218000004,"Kalamazoo Charter Township, Precinct 4",1003,114,4,0
774218000005,"Kalamazoo Charter Township, Precinct 5",365,30,5,0
774218000006,"Kalamazoo Charter Township, Precinct 6",555,70,1,0
774216000002,"Kalamazoo City, Precinct 2",304,52,3,0
774216000003,"Kalamazoo City, Precinct 3",895,128,7,0
774216000004,"Kalamazoo City, Precinct 4",621,86,2,0
774216000005,"Kalamazoo City, Precinct 5",681,82,2,0
774216000006,"Kalamazoo City, Precinct 6",544,42,3,0
774216000007,"Kalamazoo City, Precinct 7",669,59,0,0
774216000008,"Kalamazoo City, Precinct 8",480,62,3,0
774216000009,"Kalamazoo City, Precinct 9",1021,98,3,0
774216000010,"Kalamazoo City, Precinct 10",435,64,4,0
774216000011,"Kalamazoo City, Precinct 11",242,30,0,0
774216000012,"Kalamazoo City, Precinct 12",656,86,5,0
774216000013,"Kalamazoo City, Precinct 13",333,63,1,0
774216000014,"Kalamazoo City, Precinct 14",1148,118,5,0
774216000015,"Kalamazoo City, Precinct 15",338,59,0,0
774216000016,"Kalamazoo City, Precinct 16",564,74,3,0
774216000017,"Kalamazoo City, Precinct 17",417,52,2,0
774216000018,"Kalamazoo City, Precinct 18",415,59,1,0
774216000019,"Kalamazoo City, Precinct 19",367,43,1,0
774216000020,"Kalamazoo City, Precinct 20",520,48,2,0
774216000021,"Kalamazoo City, Precinct 21",656,49,2,0
776140000001,"Oshtemo Charter Township, Precinct 1",299,33,1,0
776140000002,"Oshtemo Charter Township, Precinct 2",516,58,4,0
776140000003,"Oshtemo Charter Township, Precinct 3",517,63,1,0
776140000004,"Oshtemo Charter Township, Precinct 4",470,51,0,0
776140000005,"Oshtemo Charter Township, Precinct 5",644,109,0,0
776140000006,"Oshtemo Charter Township, Precinct 6",227,46,1,0
776140000007,"Oshtemo Charter Township, Precinct 7",384,44,4,0
776140000008,"Oshtemo Charter Township, Precinct 8",198,24,0,0
776140000009,"Oshtemo Charter Township, Precinct 9",513,58,1,0
776234000001,"Parchment City, Precinct 1",270,41,1,0
776296000001,"Charter Township of Pavilion, Precinct 1",318,64,0,0
776296000002,"Charter Township of Pavilion, Precinct 2",141,18,3,0
776296000003,"Charter Township of Pavilion, Precinct 3",211,37,0,0
776556000001,"Portage City, Precinct 1",573,77,1,0
776556000002,"Portage City, Precinct 2",202,37,1,0
776556000003,"Portage City, Precinct 3",860,110,1,0
776556000004,"Portage City, Precinct 4",775,127,4,0
776556000005,"Portage City, Precinct 5",1038,118,2,0
776556000006,"Portage City, Precinct 6",607,83,2,0
776556000007,"Portage City, Precinct 7",629,60,1,0
776556000008,"Portage City, Precinct 8",886,109,2,0
776556000009,"Portage City, Precinct 9",489,68,1,0
776556000010,"Portage City, Precinct 10",697,105,0,0
776556000011,"Portage City, Precinct 11",525,87,2,0
776556000012,"Portage City, Precinct 12",397,65,0,0
776556000013,"Portage City, Precinct 13",774,107,1,0
776620000001,"Prairie Ronde Township, Precinct 1",292,44,1,0
776826000001,"Richland Township, Precinct 1",553,75,1,0
776826000002,"Richland Township, Precinct 2",684,100,4,0
776982000001,"Ross Township, Precinct 1",332,55,0,0
776982000002,"Ross Township, Precinct 2",419,45,0,0
777188000001,"Schoolcraft Township, Precinct 1",290,22,2,0
777188000002,"Schoolcraft Township, Precinct 2",157,30,0,0
777188000003,"Schoolcraft Township, Precinct 3",485,100,0,0
777188000004,"Schoolcraft Township, Precinct 4",204,45,0,0
777930000001,"Texas Charter Township, Precinct 1",375,52,0,0
777930000002,"Texas Charter Township, Precinct 2",394,45,0,0
777930000003,"Texas Charter Township, Precinct 3",479,46,2,0
777930000004,"Texas Charter Township, Precinct 4",635,105,0,0
777930000005,"Texas Charter Township, Precinct 5",710,97,0,0
777930000006,"Texas Charter Township, Precinct 6",584,65,2,0
778284000001,"Wakeshma Township, Precinct 1",71,22,0,0
