id,name,Bill Huizenga,Philip Tanis,Write-in
770084000001,"Alamo Township, Precinct 1",114,10,0
770084000002,"Alamo Township, Precinct 2",192,13,0
771472000001,"Charleston Township, Precinct 1",113,17,0
771646000001,"Climax Township, Precinct 1",179,32,0
771768000001,"Comstock Charter Township, Precinct 1",123,17,0
771768000002,"Comstock Charter Township, Precinct 2",78,15,0
771768000003,"Comstock Charter Township, Precinct 3",79,18,1
771768000004,"Comstock Charter Township, Precinct 4",111,11,1
771768000005,"Comstock Charter Township, Precinct 5",111,12,1
771768000006,"Comstock Charter Township, Precinct 6",81,17,0
771798000001,"Cooper Charter Township, Precinct 1",95,7,0
771798000002,"Cooper Charter Township, Precinct 2",101,13,1
771798000003,"Cooper Charter Township, Precinct 3",132,23,3
771798000004,"Cooper Charter Township, Precinct 4",185,22,0
773126000001,"Galesburg City, Precinct 1",82,12,1
774218000001,"Kalamazoo Charter Township, Precinct 1",20,2,0
774218000002,"Kalamazoo Charter Township, Precinct 2",142,14,1
774218000003,"Kalamazoo Charter Township, Precinct 3",107,7,1
774218000004,"Kalamazoo Charter Township, Precinct 4",85,5,0
774218000005,"Kalamazoo Charter Township, Precinct 5",42,8,0
774218000006,"Kalamazoo Charter Township, Precinct 6",61,13,0
774216000002,"Kalamazoo City, Precinct 2",4,0,0
774216000003,"Kalamazoo City, Precinct 3",20,4,0
774216000004,"Kalamazoo City, Precinct 4",20,8,0
774216000005,"Kalamazoo City, Precinct 5",22,3,0
774216000006,"Kalamazoo City, Precinct 6",49,4,0
774216000007,"Kalamazoo City, Precinct 7",12,3,1
774216000008,"Kalamazoo City, Precinct 8",11,4,0
774216000009,"Kalamazoo City, Precinct 9",40,7,0
774216000010,"Kalamazoo City, Precinct 10",69,9,0
774216000011,"Kalamazoo City, Precinct 11",10,3,0
774216000012,"Kalamazoo City, Precinct 12",59,7,0
774216000013,"Kalamazoo City, Precinct 13",37,9,0
774216000014,"Kalamazoo City, Precinct 14",54,4,0
774216000015,"Kalamazoo City, Precinct 15",21,6,1
774216000016,"Kalamazoo City, Precinct 16",43,9,0
774216000017,"Kalamazoo City, Precinct 17",42,8,0
774216000018,"Kalamazoo City, Precinct 18",45,9,0
774216000019,"Kalamazoo City, Precinct 19",33,2,0
774216000020,"Kalamazoo City, Precinct 20",44,9,1
774216000021,"Kalamazoo City, Precinct 21",55,7,0
776140000001,"Oshtemo Charter Township, Precinct 1",117,12,0
776140000002,"Oshtemo Charter Township, Precinct 2",122,9,0
776140000003,"Oshtemo Charter Township, Precinct 3",62,4,0
776140000004,"Oshtemo Charter Township, Precinct 4",49,1,0
776140000005,"Oshtemo Charter Township, Precinct 5",46,5,1
776140000006,"Oshtemo Charter Township, Precinct 6",58,4,0
776140000007,"Oshtemo Charter Township, Precinct 7",65,5,0
776140000008,"Oshtemo Charter Township, Precinct 8",27,3,0
776140000009,"Oshtemo Charter Township, Precinct 9",78,5,0
776234000001,"Parchment City, Precinct 1",112,14,0
776296000001,"Charter Township of Pavilion, Precinct 1",129,11,1
776296000002,"Charter Township of Pavilion, Precinct 2",93,10,0
776296000003,"Charter Township of Pavilion, Precinct 3",72,12,1
776556000001,"Portage City, Precinct 1",97,12,1
776556000002,"Portage City, Precinct 2",29,5,0
776556000003,"Portage City, Precinct 3",179,21,0
776556000004,"Portage City, Precinct 4",218,18,0
776556000005,"Portage City, Precinct 5",170,25,1
776556000006,"Portage City, Precinct 6",85,19,2
776556000007,"Portage City, Precinct 7",99,19,0
776556000008,"Portage City, Precinct 8",151,23,1
776556000009,"Portage City, Precinct 9",72,7,0
776556000010,"Portage City, Precinct 10",141,17,0
776556000011,"Portage City, Precinct 11",85,10,0
776556000012,"Portage City, Precinct 12",55,10,0
776556000013,"Portage City, Precinct 13",151,20,0
776826000001,"Richland Township, Precinct 1",185,34,0
776826000002,"Richland Township, Precinct 2",225,32,0
776982000001,"Ross Township, Precinct 1",130,17,0
776982000002,"Ross Township, Precinct 2",167,19,0
777930000001,"Texas Charter Township, Precinct 1",147,14,0
777930000002,"Texas Charter Township, Precinct 2",138,9,0
777930000003,"Texas Charter Township, Precinct 3",68,6,0
777930000004,"Texas Charter Township, Precinct 4",107,19,0
777930000005,"Texas Charter Township, Precinct 5",142,17,0
777930000006,"Texas Charter Township, Precinct 6",202,23,1
