id,name,Diop Harris II,Sean McCann,Write-in
770084000001,"Alamo Township, Precinct 1",22,51,1
770084000002,"Alamo Township, Precinct 2",36,54,0
771472000001,"Charleston Township, Precinct 1",32,53,2
771646000001,"Climax Township, Precinct 1",40,51,0
771768000001,"Comstock Charter Township, Precinct 1",61,66,0
771768000002,"Comstock Charter Township, Precinct 2",52,66,0
771768000003,"Comstock Charter Township, Precinct 3",43,61,0
771768000004,"Comstock Charter Township, Precinct 4",31,78,1
771768000005,"Comstock Charter Township, Precinct 5",129,165,1
771768000006,"Comstock Charter Township, Precinct 6",39,55,0
771798000001,"Cooper Charter Township, Precinct 1",39,58,0
771798000002,"Cooper Charter Township, Precinct 2",24,59,0
771798000003,"Cooper Charter Township, Precinct 3",128,142,5
771798000004,"Cooper Charter Township, Precinct 4",57,97,0
773126000001,"Galesburg City, Precinct 1",65,102,0
774218000001,"Kalamazoo Charter Township, Precinct 1",18,18,0
774218000002,"Kalamazoo Charter Township, Precinct 2",129,199,4
774218000003,"Kalamazoo Charter Township, Precinct 3",208,223,3
774218000004,"Kalamazoo Charter Township, Precinct 4",194,286,1
774218000005,"Kalamazoo Charter Township, Precinct 5",94,92,0
774218000006,"Kalamazoo Charter Township, Precinct 6",111,139,0
774216000002,"Kalamazoo City, Precinct 2",119,72,5
774216000003,"Kalamazoo City, Precinct 3",433,142,2
774216000004,"Kalamazoo City, Precinct 4",122,199,1
774216000005,"Kalamazoo City, Precinct 5",161,148,1
774216000006,"Kalamazoo City, Precinct 6",78,117,0
774216000007,"Kalamazoo City, Precinct 7",168,144,0
774216000008,"Kalamazoo City, Precinct 8",198,114,1
774216000009,"Kalamazoo City, Precinct 9",236,266,0
774216000010,"Kalamazoo City, Precinct 10",92,92,1
774216000011,"Kalamazoo City, Precinct 11",65,70,1
774216000012,"Kalamazoo City, Precinct 12",137,201,1
774216000013,"Kalamazoo City, Precinct 13",132,77,0
774216000014,"Kalamazoo City, Precinct 14",235,322,5
774216000015,"Kalamazoo City, Precinct 15",143,79,1
774216000016,"Kalamazoo City, Precinct 16",159,138,3
774216000017,"Kalamazoo City, Precinct 17",121,91,0
774216000018,"Kalamazoo City, Precinct 18",125,110,3
774216000019,"Kalamazoo City, Precinct 19",92,89,0
774216000020,"Kalamazoo City, Precinct 20",71,188,0
774216000021,"Kalamazoo City, Precinct 21",121,175,1
776140000001,"Oshtemo Charter Township, Precinct 1",33,59,0
776140000002,"Oshtemo Charter Township, Precinct 2",76,113,0
776140000003,"Oshtemo Charter Township, Precinct 3",56,124,1
776140000004,"Oshtemo Charter Township, Precinct 4",91,97,0
776140000005,"Oshtemo Charter Township, Precinct 5",134,128,0
776140000006,"Oshtemo Charter Township, Precinct 6",27,56,0
776140000007,"Oshtemo Charter Township, Precinct 7",68,82,1
776140000008,"Oshtemo Charter Township, Precinct 8",38,40,2
776140000009,"Oshtemo Charter Township, Precinct 9",69,114,1
776234000001,"Parchment City, Precinct 1",109,192,3
776296000001,"Charter Township of Pavilion, Precinct 1",33,85,0
776296000002,"Charter Township of Pavilion, Precinct 2",17,35,0
776296000003,"Charter Township of Pavilion, Precinct 3",39,54,0
776556000001,"Portage City, Precinct 1",127,108,1
776556000002,"Portage City, Precinct 2",42,65,0
776556000003,"Portage City, Precinct 3",115,161,0
776556000004,"Portage City, Precinct 4",94,192,2
776556000005,"Portage City, Precinct 5",115,187,1
776556000006,"Portage City, Precinct 6",92,124,1
776556000007,"Portage City, Precinct 7",85,119,0
776556000008,"Portage City, Precinct 8",138,219,3
776556000009,"Portage City, Precinct 9",87,112,2
776556000010,"Portage City, Precinct 10",85,149,0
776556000011,"Portage City, Precinct 11",99,132,2
776556000012,"Portage City, Precinct 12",86,83,1
776556000013,"Portage City, Precinct 13",141,157,3
776826000001,"Richland Township, Precinct 1",95,152,1
776826000002,"Richland Township, Precinct 2",103,192,0
776982000001,"Ross Township, Precinct 1",37,71,0
776982000002,"Ross Township, Precinct 2",33,106,0
777930000001,"Texas Charter Township, Precinct 1",35,99,0
777930000002,"Texas Charter Township, Precinct 2",44,116,0
777930000003,"Texas Charter Township, Precinct 3",69,97,1
777930000004,"Texas Charter Township, Precinct 4",114,147,0
777930000005,"Texas Charter Township, Precinct 5",79,152,0
777930000006,"Texas Charter Township, Precinct 6",50,138,3
