name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
"Alcona Township, Precinct 1",185,39,32,0
"Caledonia Township, Precinct 1",165,33,26,0
"Curtis Township, Precinct 1",162,35,23,0
"Greenbush Township, Precinct 1",179,44,22,0
"Gustin Township, Precinct 1",86,16,31,0
"Harrisville, Precinct 1",167,38,65,0
"Hawes Township, Precinct 1",184,34,26,0
"Haynes Township, Precinct 1",109,15,27,0
"Mikado Township, Precinct 1",117,25,16,0
"Millen Township, Precinct 1",67,12,13,0
"Mitchell Township, Precinct 1",66,13,17,0
"Harrisville, Precinct 1",41,5,12,0
"Alcona EV, Precinct 1",58,12,14,0
