name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"Alcona Township, Precinct 1",63,12,82,0
"Caledonia Township, Precinct 1",41,15,88,0
"Curtis Township, Precinct 1",46,14,70,0
"Greenbush Township, Precinct 1",72,9,92,0
"Gustin Township, Precinct 1",16,6,32,0
"Harrisville, Precinct 1",75,10,60,0
"Hawes Township, Precinct 1",57,8,58,0
"Haynes Township, Precinct 1",40,5,38,0
"Mikado Township, Precinct 1",26,8,22,0
"Millen Township, Precinct 1",20,5,26,0
"Mitchell Township, Precinct 1",17,6,23,0
"Harrisville, Precinct 1",45,3,27,0
"Alcona EV, Precinct 1",61,2,25,0
