name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"Alcona Township, Precinct 1",131,29,0
"Caledonia Township, Precinct 1",125,19,1
"Curtis Township, Precinct 1",95,38,0
"Greenbush Township, Precinct 1",142,33,1
"Gustin Township, Precinct 1",42,13,0
"Harrisville, Precinct 1",111,33,0
"Hawes Township, Precinct 1",94,31,0
"Haynes Township, Precinct 1",68,16,1
"Mikado Township, Precinct 1",40,18,0
"Millen Township, Precinct 1",40,12,0
"Mitchell Township, Precinct 1",36,10,0
"Harrisville, Precinct 1",60,14,0
"Alcona EV, Precinct 1",70,18,0
