name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"Alcona Township, Precinct 1",33,143,92,0,0
"Caledonia Township, Precinct 1",19,104,116,1,0
"Curtis Township, Precinct 1",38,78,101,9,0
"Greenbush Township, Precinct 1",44,100,109,2,0
"Gustin Township, Precinct 1",27,56,51,2,0
"Harrisville, Precinct 1",34,131,99,8,0
"Hawes Township, Precinct 1",32,107,106,7,0
"Haynes Township, Precinct 1",22,65,62,4,0
"Mikado Township, Precinct 1",18,70,71,3,0
"Millen Township, Precinct 1",13,41,38,1,0
"Mitchell Township, Precinct 1",12,44,42,0,0
"Harrisville, Precinct 1",12,27,18,1,0
"Alcona EV, Precinct 1",5,45,31,2,0
