id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
810116000001,"Algoma Township, Precinct 1",4,4,1,0
810116000002,"Algoma Township, Precinct 2",5,8,0,0
810116000003,"Algoma Township, Precinct 3",7,3,2,0
810116000004,"Algoma Township, Precinct 4",4,2,1,0
810116000005,"Algoma Township, Precinct 5",7,7,8,1
810978000001,"Bowne Township, Precinct 1",9,6,1,0
811250000001,"Caledonia Charter Township, Precinct 1",6,1,3,0
811250000002,"Caledonia Charter Township, Precinct 2",2,8,2,0
811250000003,"Caledonia Charter Township, Precinct 3",2,3,1,0
811250000004,"Caledonia Charter Township, Precinct 4",3,1,0,0
811250000005,"Caledonia Charter Township, Precinct 5",15,17,2,1
811250000006,"Caledonia Charter Township, Precinct 6",10,10,1,1
811420000001,"Cedar Springs City, Precinct 1",9,7,0,0
811850000001,"Courtland Township, Precinct 1",10,12,0,0
811850000002,"Courtland Township, Precinct 2",8,12,8,0
811850000003,"Courtland Township, Precinct 3",9,12,5,0
813456000001,"Grattan Township, Precinct 1",1,9,1,0
813456000002,"Grattan Township, Precinct 2",16,4,4,0
814956000001,"Lowell Charter Township, Precinct 1",16,8,2,0
814956000002,"Lowell Charter Township, Precinct 2",18,13,1,0
814954000001,"Lowell City, Precinct 1",19,7,9,0
814954000002,"Lowell City, Precinct 2",8,4,1,0
815692000001,"Nelson Township, Precinct 1",2,4,0,0
815692000002,"Nelson Township, Precinct 2",13,5,1,0
815958000001,"Oakfield Township, Precinct 1",12,5,2,0
815958000002,"Oakfield Township, Precinct 2",3,10,1,0
815958000003,"Oakfield Township, Precinct 3",10,10,3,0
817446000001,"Solon Township, Precinct 1",8,1,1,0
817446000002,"Solon Township, Precinct 2",12,14,1,0
817446000003,"Solon Township, Precinct 3",17,9,4,0
817544000001,"Sparta Township, Precinct 1",16,10,1,0
817544000002,"Sparta Township, Precinct 2",11,9,5,0
817556000001,"Spencer Township, Precinct 1",2,8,1,0
817556000002,"Spencer Township, Precinct 2",9,4,1,0
818114000001,"Tyrone Township, Precinct 1",10,13,4,0
818192000001,"Vergennes Township, Precinct 1",16,5,5,0
818192000002,"Vergennes Township, Precinct 2",25,16,6,0
