id,name,Ryan Cushman,Terri DeBoer,Write-in
810024000001,"Ada Township, Precinct 1",15,54,0
810024000002,"Ada Township, Precinct 2",29,86,0
810024000003,"Ada Township, Precinct 3",39,134,0
810024000004,"Ada Township, Precinct 4",17,67,0
810024000005,"Ada Township, Precinct 5",44,142,1
810024000006,"Ada Township, Precinct 6",27,88,0
810184000001,"Alpine Township, Precinct 1",21,78,0
810184000002,"Alpine Township, Precinct 2",21,63,0
810184000003,"Alpine Township, Precinct 3",31,141,0
810184000004,"Alpine Township, Precinct 4",26,116,0
810184000005,"Alpine Township, Precinct 5",33,105,0
810184000006,"Alpine Township, Precinct 6",10,20,0
811224000001,"Byron Township, Precinct 1",60,220,0
811224000002,"Byron Township, Precinct 2",39,174,0
811224000003,"Byron Township, Precinct 3",22,70,0
811224000004,"Byron Township, Precinct 4",51,211,0
811224000005,"Byron Township, Precinct 5",49,202,0
811224000006,"Byron Township, Precinct 6",14,124,0
811224000007,"Byron Township, Precinct 7",47,165,0
811224000008,"Byron Township, Precinct 8",22,125,0
811308000001,"Cannon Township, Precinct 1",31,183,0
811308000002,"Cannon Township, Precinct 2",61,239,1
811308000003,"Cannon Township, Precinct 3",54,218,1
811308000004,"Cannon Township, Precinct 4",44,189,0
811366000001,"Cascade Charter Township, Precinct 1",41,177,1
811366000002,"Cascade Charter Township, Precinct 2",39,186,0
811366000003,"Cascade Charter Township, Precinct 3",59,246,0
811366000004,"Cascade Charter Township, Precinct 4",63,263,1
811366000005,"Cascade Charter Township, Precinct 5",48,167,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",18,86,0
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",20,78,0
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",18,103,0
813124000001,"Gaines Charter Township, Precinct 1",54,228,0
813124000002,"Gaines Charter Township, Precinct 2",15,83,0
813124000003,"Gaines Charter Township, Precinct 3",37,136,1
813124000004,"Gaines Charter Township, Precinct 4",20,75,0
813124000005,"Gaines Charter Township, Precinct 5",13,44,0
813124000006,"Gaines Charter Township, Precinct 6",40,129,0
813124000007,"Gaines Charter Township, Precinct 7",60,178,1
813124000008,"Gaines Charter Township, Precinct 8",29,111,0
813124000009,"Gaines Charter Township, Precinct 9",24,74,0
813402000001,"Grand Rapids Charter Township, Precinct 1",38,169,0
813402000002,"Grand Rapids Charter Township, Precinct 2",20,69,0
813402000003,"Grand Rapids Charter Township, Precinct 3",8,78,1
813402000004,"Grand Rapids Charter Township, Precinct 4",44,140,0
813402000005,"Grand Rapids Charter Township, Precinct 5",14,115,0
813402000006,"Grand Rapids Charter Township, Precinct 6",45,200,1
813400001001,"Grand Rapids City, Ward 1, Precinct 1",10,34,2
813400001002,"Grand Rapids City, Ward 1, Precinct 2",10,33,0
813400001003,"Grand Rapids City, Ward 1, Precinct 3",12,55,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",8,38,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",36,132,0
813400001006,"Grand Rapids City, Ward 1, Precinct 6",6,8,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",24,105,0
813400001008,"Grand Rapids City, Ward 1, Precinct 8",32,109,0
813400001009,"Grand Rapids City, Ward 1, Precinct 9",7,20,0
813400001010,"Grand Rapids City, Ward 1, Precinct 10",13,21,0
813400001011,"Grand Rapids City, Ward 1, Precinct 11",12,57,1
813400001012,"Grand Rapids City, Ward 1, Precinct 12",4,12,0
813400001013,"Grand Rapids City, Ward 1, Precinct 13",6,8,0
813400001014,"Grand Rapids City, Ward 1, Precinct 14",23,73,0
813400001015,"Grand Rapids City, Ward 1, Precinct 15",2,3,0
813400001016,"Grand Rapids City, Ward 1, Precinct 16",17,36,1
813400001017,"Grand Rapids City, Ward 1, Precinct 17",19,105,1
813400001018,"Grand Rapids City, Ward 1, Precinct 18",49,142,2
813400001019,"Grand Rapids City, Ward 1, Precinct 19",22,105,1
813400001020,"Grand Rapids City, Ward 1, Precinct 20",3,3,0
813400002021,"Grand Rapids City, Ward 2, Precinct 21",13,33,0
813400002022,"Grand Rapids City, Ward 2, Precinct 22",19,40,0
813400002023,"Grand Rapids City, Ward 2, Precinct 23",11,62,0
813400002024,"Grand Rapids City, Ward 2, Precinct 24",24,67,0
813400002025,"Grand Rapids City, Ward 2, Precinct 25",6,64,0
813400002026,"Grand Rapids City, Ward 2, Precinct 26",17,48,0
813400002027,"Grand Rapids City, Ward 2, Precinct 27",8,29,0
813400002028,"Grand Rapids City, Ward 2, Precinct 28",23,38,0
813400002029,"Grand Rapids City, Ward 2, Precinct 29",23,114,0
813400002030,"Grand Rapids City, Ward 2, Precinct 30",26,84,0
813400002031,"Grand Rapids City, Ward 2, Precinct 31",8,27,0
813400002032,"Grand Rapids City, Ward 2, Precinct 32",6,26,0
813400002033,"Grand Rapids City, Ward 2, Precinct 33",5,19,0
813400002034,"Grand Rapids City, Ward 2, Precinct 34",36,71,0
813400002035,"Grand Rapids City, Ward 2, Precinct 35",15,67,0
813400002036,"Grand Rapids City, Ward 2, Precinct 36",39,150,0
813400002037,"Grand Rapids City, Ward 2, Precinct 37",22,114,0
813400002038,"Grand Rapids City, Ward 2, Precinct 38",15,50,0
813400002039,"Grand Rapids City, Ward 2, Precinct 39",18,87,0
813400002040,"Grand Rapids City, Ward 2, Precinct 40",14,24,0
813400003041,"Grand Rapids City, Ward 3, Precinct 41",20,30,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",22,60,0
813400003043,"Grand Rapids City, Ward 3, Precinct 43",31,141,0
813400003044,"Grand Rapids City, Ward 3, Precinct 44",30,116,0
813400003045,"Grand Rapids City, Ward 3, Precinct 45",11,77,0
813400003046,"Grand Rapids City, Ward 3, Precinct 46",16,105,0
813400003047,"Grand Rapids City, Ward 3, Precinct 47",3,17,0
813400003048,"Grand Rapids City, Ward 3, Precinct 48",2,11,0
813400003049,"Grand Rapids City, Ward 3, Precinct 49",6,10,0
813400003050,"Grand Rapids City, Ward 3, Precinct 50",13,22,1
813400003051,"Grand Rapids City, Ward 3, Precinct 51",7,28,0
813400003052,"Grand Rapids City, Ward 3, Precinct 52",2,4,0
813400003053,"Grand Rapids City, Ward 3, Precinct 53",2,6,0
813400003054,"Grand Rapids City, Ward 3, Precinct 54",9,32,0
813400003055,"Grand Rapids City, Ward 3, Precinct 55",5,23,0
813400003056,"Grand Rapids City, Ward 3, Precinct 56",22,86,1
813400003057,"Grand Rapids City, Ward 3, Precinct 57",8,33,1
813400003058,"Grand Rapids City, Ward 3, Precinct 58",0,4,0
813400003059,"Grand Rapids City, Ward 3, Precinct 59",14,68,0
813416000001,"Grandville City, Precinct 1",28,99,0
813416000002,"Grandville City, Precinct 2",26,104,0
813416000003,"Grandville City, Precinct 3",47,108,0
813416000004,"Grandville City, Precinct 4",54,131,0
813416000005,"Grandville City, Precinct 5",45,152,0
813416000006,"Grandville City, Precinct 6",40,152,0
814282001001,"Kentwood City, Ward 1, Precinct 1",19,49,0
814282001002,"Kentwood City, Ward 1, Precinct 2",22,86,2
814282001003,"Kentwood City, Ward 1, Precinct 3",22,73,1
814282001004,"Kentwood City, Ward 1, Precinct 4",19,54,0
814282001005,"Kentwood City, Ward 1, Precinct 5",14,39,0
814282001006,"Kentwood City, Ward 1, Precinct 6",21,73,0
814282001007,"Kentwood City, Ward 1, Precinct 7",18,55,0
814282001008,"Kentwood City, Ward 1, Precinct 8",26,114,0
814282001009,"Kentwood City, Ward 1, Precinct 9",22,45,0
814282001017,"Kentwood City, Ward 1, Precinct 17",15,47,0
814282002010,"Kentwood City, Ward 2, Precinct 10",22,56,0
814282002011,"Kentwood City, Ward 2, Precinct 11",15,69,0
814282002012,"Kentwood City, Ward 2, Precinct 12",18,45,0
814282002013,"Kentwood City, Ward 2, Precinct 13",15,45,0
814282002014,"Kentwood City, Ward 2, Precinct 14",12,61,0
814282002015,"Kentwood City, Ward 2, Precinct 15",17,29,0
814282002016,"Kentwood City, Ward 2, Precinct 16",21,105,1
816466000001,"Plainfield Charter Township, Precinct 1",38,192,0
816466000002,"Plainfield Charter Township, Precinct 2",46,181,1
816466000003,"Plainfield Charter Township, Precinct 3",56,187,1
816466000004,"Plainfield Charter Township, Precinct 4",15,94,0
816466000006,"Plainfield Charter Township, Precinct 6",41,158,0
816466000007,"Plainfield Charter Township, Precinct 7",42,152,0
816466000008,"Plainfield Charter Township, Precinct 8",27,153,0
816466000009,"Plainfield Charter Township, Precinct 9",26,132,0
816466000010,"Plainfield Charter Township, Precinct 10",33,165,0
816466000011,"Plainfield Charter Township, Precinct 11",34,150,1
816908000001,"Rockford City, Precinct 1",19,82,0
816908000002,"Rockford City, Precinct 2",34,127,0
818296001001,"Walker City, Ward 1, Precinct 1",24,62,0
818296001002,"Walker City, Ward 1, Precinct 2",45,134,0
818296002003,"Walker City, Ward 2, Precinct 3",36,186,0
818296002004,"Walker City, Ward 2, Precinct 4",40,123,0
818296003005,"Walker City, Ward 3, Precinct 5",38,170,1
818296003006,"Walker City, Ward 3, Precinct 6",42,201,0
818894001001,"Wyoming City, Ward 1, Precinct 1",25,93,0
818894001002,"Wyoming City, Ward 1, Precinct 2",17,87,1
818894001003,"Wyoming City, Ward 1, Precinct 3",50,196,0
818894001004,"Wyoming City, Ward 1, Precinct 4",12,75,0
818894001005,"Wyoming City, Ward 1, Precinct 5",29,124,0
818894001006,"Wyoming City, Ward 1, Precinct 6",33,98,0
818894002007,"Wyoming City, Ward 2, Precinct 7",35,107,0
818894002008,"Wyoming City, Ward 2, Precinct 8",13,63,0
818894002009,"Wyoming City, Ward 2, Precinct 9",9,65,0
818894002010,"Wyoming City, Ward 2, Precinct 10",25,99,0
818894002011,"Wyoming City, Ward 2, Precinct 11",31,83,0
818894002012,"Wyoming City, Ward 2, Precinct 12",24,59,0
818894003013,"Wyoming City, Ward 3, Precinct 13",29,133,0
818894003014,"Wyoming City, Ward 3, Precinct 14",21,81,0
818894003015,"Wyoming City, Ward 3, Precinct 15",38,160,0
818894003016,"Wyoming City, Ward 3, Precinct 16",47,148,1
818894003017,"Wyoming City, Ward 3, Precinct 17",29,122,2
818894003018,"Wyoming City, Ward 3, Precinct 18",20,111,0
