id,name,Hillary Scholten,Write-in
810024000001,"Ada Township, Precinct 1",191,0
810024000002,"Ada Township, Precinct 2",324,0
810024000003,"Ada Township, Precinct 3",334,0
810024000004,"Ada Township, Precinct 4",141,0
810024000005,"Ada Township, Precinct 5",209,0
810024000006,"Ada Township, Precinct 6",320,0
810184000001,"Alpine Township, Precinct 1",129,0
810184000002,"Alpine Township, Precinct 2",146,1
810184000003,"Alpine Township, Precinct 3",306,1
810184000004,"Alpine Township, Precinct 4",192,1
810184000005,"Alpine Township, Precinct 5",80,0
810184000006,"Alpine Township, Precinct 6",72,0
811224000001,"Byron Township, Precinct 1",235,0
811224000002,"Byron Township, Precinct 2",304,0
811224000003,"Byron Township, Precinct 3",108,0
811224000004,"Byron Township, Precinct 4",173,0
811224000005,"Byron Township, Precinct 5",234,2
811224000006,"Byron Township, Precinct 6",168,0
811224000007,"Byron Township, Precinct 7",247,1
811224000008,"Byron Township, Precinct 8",302,1
811308000001,"Cannon Township, Precinct 1",348,0
811308000002,"Cannon Township, Precinct 2",386,0
811308000003,"Cannon Township, Precinct 3",322,3
811308000004,"Cannon Township, Precinct 4",306,0
811366000001,"Cascade Charter Township, Precinct 1",541,7
811366000002,"Cascade Charter Township, Precinct 2",413,3
811366000003,"Cascade Charter Township, Precinct 3",580,4
811366000004,"Cascade Charter Township, Precinct 4",436,3
811366000005,"Cascade Charter Township, Precinct 5",472,1
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",521,3
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",531,6
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",568,2
813124000001,"Gaines Charter Township, Precinct 1",180,1
813124000002,"Gaines Charter Township, Precinct 2",191,4
813124000003,"Gaines Charter Township, Precinct 3",138,2
813124000004,"Gaines Charter Township, Precinct 4",128,0
813124000005,"Gaines Charter Township, Precinct 5",152,2
813124000006,"Gaines Charter Township, Precinct 6",162,0
813124000007,"Gaines Charter Township, Precinct 7",299,3
813124000008,"Gaines Charter Township, Precinct 8",214,0
813124000009,"Gaines Charter Township, Precinct 9",155,1
813402000001,"Grand Rapids Charter Township, Precinct 1",504,1
813402000002,"Grand Rapids Charter Township, Precinct 2",108,2
813402000003,"Grand Rapids Charter Township, Precinct 3",349,2
813402000004,"Grand Rapids Charter Township, Precinct 4",430,3
813402000005,"Grand Rapids Charter Township, Precinct 5",251,1
813402000006,"Grand Rapids Charter Township, Precinct 6",347,0
813400001001,"Grand Rapids City, Ward 1, Precinct 1",145,1
813400001002,"Grand Rapids City, Ward 1, Precinct 2",176,2
813400001003,"Grand Rapids City, Ward 1, Precinct 3",330,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",251,3
813400001005,"Grand Rapids City, Ward 1, Precinct 5",321,0
813400001006,"Grand Rapids City, Ward 1, Precinct 6",156,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",467,2
813400001008,"Grand Rapids City, Ward 1, Precinct 8",200,3
813400001009,"Grand Rapids City, Ward 1, Precinct 9",134,1
813400001010,"Grand Rapids City, Ward 1, Precinct 10",146,0
813400001011,"Grand Rapids City, Ward 1, Precinct 11",221,0
813400001012,"Grand Rapids City, Ward 1, Precinct 12",84,1
813400001013,"Grand Rapids City, Ward 1, Precinct 13",100,1
813400001014,"Grand Rapids City, Ward 1, Precinct 14",198,2
813400001015,"Grand Rapids City, Ward 1, Precinct 15",56,1
813400001016,"Grand Rapids City, Ward 1, Precinct 16",160,0
813400001017,"Grand Rapids City, Ward 1, Precinct 17",400,3
813400001018,"Grand Rapids City, Ward 1, Precinct 18",239,1
813400001019,"Grand Rapids City, Ward 1, Precinct 19",291,1
813400001020,"Grand Rapids City, Ward 1, Precinct 20",53,1
813400002021,"Grand Rapids City, Ward 2, Precinct 21",254,1
813400002022,"Grand Rapids City, Ward 2, Precinct 22",199,0
813400002023,"Grand Rapids City, Ward 2, Precinct 23",305,1
