id,name,Hillary Scholten,Write-in
810024000001,"Ada Township, Precinct 1",94,2
810024000002,"Ada Township, Precinct 2",168,4
810024000003,"Ada Township, Precinct 3",144,2
810024000004,"Ada Township, Precinct 4",76,0
810024000005,"Ada Township, Precinct 5",98,4
810024000006,"Ada Township, Precinct 6",171,5
810184000001,"Alpine Township, Precinct 1",65,0
810184000002,"Alpine Township, Precinct 2",100,1
810184000003,"Alpine Township, Precinct 3",143,7
810184000004,"Alpine Township, Precinct 4",130,1
810184000005,"Alpine Township, Precinct 5",49,0
810184000006,"Alpine Township, Precinct 6",121,4
811224000001,"Byron Township, Precinct 1",126,4
811224000002,"Byron Township, Precinct 2",153,4
811224000003,"Byron Township, Precinct 3",126,4
811224000004,"Byron Township, Precinct 4",62,3
811224000005,"Byron Township, Precinct 5",92,1
811224000006,"Byron Township, Precinct 6",95,3
811224000007,"Byron Township, Precinct 7",131,1
811224000008,"Byron Township, Precinct 8",119,3
811308000001,"Cannon Township, Precinct 1",136,3
811308000002,"Cannon Township, Precinct 2",198,2
811308000003,"Cannon Township, Precinct 3",208,6
811308000004,"Cannon Township, Precinct 4",128,0
811366000001,"Cascade Charter Township, Precinct 1",217,5
811366000002,"Cascade Charter Township, Precinct 2",271,9
811366000003,"Cascade Charter Township, Precinct 3",436,8
811366000004,"Cascade Charter Township, Precinct 4",268,5
811366000005,"Cascade Charter Township, Precinct 5",264,2
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",402,5
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",391,9
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",452,12
813124000001,"Gaines Charter Township, Precinct 1",105,1
813124000002,"Gaines Charter Township, Precinct 2",128,0
813124000003,"Gaines Charter Township, Precinct 3",141,1
813124000004,"Gaines Charter Township, Precinct 4",75,2
813124000005,"Gaines Charter Township, Precinct 5",205,1
813124000006,"Gaines Charter Township, Precinct 6",147,2
813124000007,"Gaines Charter Township, Precinct 7",181,2
813124000008,"Gaines Charter Township, Precinct 8",133,4
813124000009,"Gaines Charter Township, Precinct 9",161,1
813402000001,"Grand Rapids Charter Township, Precinct 1",262,5
813402000002,"Grand Rapids Charter Township, Precinct 2",153,3
813402000003,"Grand Rapids Charter Township, Precinct 3",131,6
813402000004,"Grand Rapids Charter Township, Precinct 4",296,6
813402000005,"Grand Rapids Charter Township, Precinct 5",217,0
813402000006,"Grand Rapids Charter Township, Precinct 6",260,10
813400001001,"Grand Rapids City, Ward 1, Precinct 1",266,14
813400001002,"Grand Rapids City, Ward 1, Precinct 2",321,7
813400001003,"Grand Rapids City, Ward 1, Precinct 3",273,6
813400001004,"Grand Rapids City, Ward 1, Precinct 4",307,6
813400001005,"Grand Rapids City, Ward 1, Precinct 5",245,4
813400001006,"Grand Rapids City, Ward 1, Precinct 6",177,8
813400001007,"Grand Rapids City, Ward 1, Precinct 7",369,8
813400001008,"Grand Rapids City, Ward 1, Precinct 8",244,2
813400001009,"Grand Rapids City, Ward 1, Precinct 9",183,6
813400001010,"Grand Rapids City, Ward 1, Precinct 10",181,6
813400001011,"Grand Rapids City, Ward 1, Precinct 11",268,7
813400001012,"Grand Rapids City, Ward 1, Precinct 12",198,1
813400001013,"Grand Rapids City, Ward 1, Precinct 13",159,7
813400001014,"Grand Rapids City, Ward 1, Precinct 14",265,7
813400001015,"Grand Rapids City, Ward 1, Precinct 15",99,4
813400001016,"Grand Rapids City, Ward 1, Precinct 16",221,8
813400001017,"Grand Rapids City, Ward 1, Precinct 17",214,3
813400001018,"Grand Rapids City, Ward 1, Precinct 18",196,5
813400001019,"Grand Rapids City, Ward 1, Precinct 19",183,1
813400001020,"Grand Rapids City, Ward 1, Precinct 20",103,4
813400002021,"Grand Rapids City, Ward 2, Precinct 21",437,9
813400002022,"Grand Rapids City, Ward 2, Precinct 22",200,5
813400002023,"Grand Rapids City, Ward 2, Precinct 23",437,18
813400002024,"Grand Rapids City, Ward 2, Precinct 24",380,13
813400002025,"Grand Rapids City, Ward 2, Precinct 25",362,11
813400002026,"Grand Rapids City, Ward 2, Precinct 26",317,14
813400002027,"Grand Rapids City, Ward 2, Precinct 27",259,10
813400002028,"Grand Rapids City, Ward 2, Precinct 28",257,3
813400002029,"Grand Rapids City, Ward 2, Precinct 29",218,7
813400002030,"Grand Rapids City, Ward 2, Precinct 30",329,3
813400002031,"Grand Rapids City, Ward 2, Precinct 31",286,7
813400002032,"Grand Rapids City, Ward 2, Precinct 32",562,24
813400002033,"Grand Rapids City, Ward 2, Precinct 33",412,6
813400002034,"Grand Rapids City, Ward 2, Precinct 34",237,6
813400002035,"Grand Rapids City, Ward 2, Precinct 35",274,5
