id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
810116000001,"Algoma Township, Precinct 1",63,32,17,2
810116000002,"Algoma Township, Precinct 2",77,54,14,1
810116000003,"Algoma Township, Precinct 3",62,40,41,0
810116000004,"Algoma Township, Precinct 4",90,50,32,0
810116000005,"Algoma Township, Precinct 5",152,88,32,0
810978000001,"Bowne Township, Precinct 1",65,40,13,0
811250000001,"Caledonia Charter Township, Precinct 1",67,45,6,0
811250000002,"Caledonia Charter Township, Precinct 2",113,72,25,0
811250000003,"Caledonia Charter Township, Precinct 3",131,41,36,0
811250000004,"Caledonia Charter Township, Precinct 4",88,21,5,0
811250000005,"Caledonia Charter Township, Precinct 5",123,90,44,0
811250000006,"Caledonia Charter Township, Precinct 6",140,91,31,0
811420000001,"Cedar Springs City, Precinct 1",69,60,19,0
811850000001,"Courtland Township, Precinct 1",104,89,35,0
811850000002,"Courtland Township, Precinct 2",176,107,60,1
811850000003,"Courtland Township, Precinct 3",117,71,25,0
813456000001,"Grattan Township, Precinct 1",59,56,13,0
813456000002,"Grattan Township, Precinct 2",108,52,22,1
814956000001,"Lowell Charter Township, Precinct 1",133,81,34,0
814956000002,"Lowell Charter Township, Precinct 2",108,130,49,0
814954000001,"Lowell City, Precinct 1",88,52,17,0
814954000002,"Lowell City, Precinct 2",49,58,6,0
815692000001,"Nelson Township, Precinct 1",53,57,20,0
815692000002,"Nelson Township, Precinct 2",59,55,29,0
815958000001,"Oakfield Township, Precinct 1",76,60,32,1
815958000002,"Oakfield Township, Precinct 2",60,62,22,0
815958000003,"Oakfield Township, Precinct 3",66,46,25,0
817446000001,"Solon Township, Precinct 1",79,76,22,0
817446000002,"Solon Township, Precinct 2",54,64,14,0
817446000003,"Solon Township, Precinct 3",36,31,19,1
817544000001,"Sparta Township, Precinct 1",113,104,22,0
817544000002,"Sparta Township, Precinct 2",113,114,29,1
817556000001,"Spencer Township, Precinct 1",78,70,22,0
817556000002,"Spencer Township, Precinct 2",43,31,5,0
818114000001,"Tyrone Township, Precinct 1",95,76,37,1
818192000001,"Vergennes Township, Precinct 1",116,52,43,0
818192000002,"Vergennes Township, Precinct 2",103,74,28,0
