id,name,John Moolenaar,Write-in
810116000001,"Algoma Township, Precinct 1",163,0
810116000002,"Algoma Township, Precinct 2",178,0
810116000003,"Algoma Township, Precinct 3",144,0
810116000004,"Algoma Township, Precinct 4",147,1
810116000005,"Algoma Township, Precinct 5",245,1
810978000001,"Bowne Township, Precinct 1",217,0
811250000001,"Caledonia Charter Township, Precinct 1",97,0
811250000002,"Caledonia Charter Township, Precinct 2",271,0
811250000003,"Caledonia Charter Township, Precinct 3",217,0
811250000004,"Caledonia Charter Township, Precinct 4",133,0
811250000005,"Caledonia Charter Township, Precinct 5",297,2
811250000006,"Caledonia Charter Township, Precinct 6",264,0
811420000001,"Cedar Springs City, Precinct 1",100,0
811850000001,"Courtland Township, Precinct 1",178,0
811850000002,"Courtland Township, Precinct 2",354,0
811850000003,"Courtland Township, Precinct 3",193,0
813456000001,"Grattan Township, Precinct 1",141,0
813456000002,"Grattan Township, Precinct 2",160,1
814956000001,"Lowell Charter Township, Precinct 1",210,0
814956000002,"Lowell Charter Township, Precinct 2",163,0
814954000001,"Lowell City, Precinct 1",51,0
814954000002,"Lowell City, Precinct 2",84,0
815692000001,"Nelson Township, Precinct 1",105,0
815692000002,"Nelson Township, Precinct 2",129,0
815958000001,"Oakfield Township, Precinct 1",114,0
815958000002,"Oakfield Township, Precinct 2",160,0
815958000003,"Oakfield Township, Precinct 3",100,0
817446000001,"Solon Township, Precinct 1",181,1
817446000002,"Solon Township, Precinct 2",92,0
817446000003,"Solon Township, Precinct 3",81,1
817544000001,"Sparta Township, Precinct 1",192,1
817544000002,"Sparta Township, Precinct 2",281,0
817556000001,"Spencer Township, Precinct 1",141,1
817556000002,"Spencer Township, Precinct 2",71,0
818114000001,"Tyrone Township, Precinct 1",264,1
818192000001,"Vergennes Township, Precinct 1",176,0
818192000002,"Vergennes Township, Precinct 2",132,1
