id,name,Ryan Cushman,Terri DeBoer,Write-in
810024000001,"Ada Township, Precinct 1",3,15,0
810024000002,"Ada Township, Precinct 2",3,14,0
810024000003,"Ada Township, Precinct 3",5,15,0
810024000004,"Ada Township, Precinct 4",4,9,0
810024000005,"Ada Township, Precinct 5",5,13,0
810024000006,"Ada Township, Precinct 6",7,18,0
810184000001,"Alpine Township, Precinct 1",0,13,0
810184000002,"Alpine Township, Precinct 2",0,8,0
810184000003,"Alpine Township, Precinct 3",6,21,0
810184000004,"Alpine Township, Precinct 4",3,25,0
810184000005,"Alpine Township, Precinct 5",2,16,0
810184000006,"Alpine Township, Precinct 6",0,3,0
811224000001,"Byron Township, Precinct 1",2,13,0
811224000002,"Byron Township, Precinct 2",6,21,0
811224000003,"Byron Township, Precinct 3",3,5,0
811224000004,"Byron Township, Precinct 4",9,27,0
811224000005,"Byron Township, Precinct 5",3,18,0
811224000006,"Byron Township, Precinct 6",2,8,0
811224000007,"Byron Township, Precinct 7",3,11,0
811224000008,"Byron Township, Precinct 8",4,4,0
811308000001,"Cannon Township, Precinct 1",14,55,0
811308000002,"Cannon Township, Precinct 2",13,61,0
811308000003,"Cannon Township, Precinct 3",10,43,0
811308000004,"Cannon Township, Precinct 4",19,53,1
811366000001,"Cascade Charter Township, Precinct 1",5,27,0
811366000002,"Cascade Charter Township, Precinct 2",0,27,0
811366000003,"Cascade Charter Township, Precinct 3",12,37,0
811366000004,"Cascade Charter Township, Precinct 4",1,27,0
811366000005,"Cascade Charter Township, Precinct 5",2,32,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",4,29,0
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",1,15,0
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",5,22,0
813124000001,"Gaines Charter Township, Precinct 1",5,26,0
813124000002,"Gaines Charter Township, Precinct 2",0,8,0
813124000003,"Gaines Charter Township, Precinct 3",0,18,0
813124000004,"Gaines Charter Township, Precinct 4",0,7,0
813124000005,"Gaines Charter Township, Precinct 5",0,1,0
813124000006,"Gaines Charter Township, Precinct 6",3,4,0
813124000007,"Gaines Charter Township, Precinct 7",3,18,0
813124000008,"Gaines Charter Township, Precinct 8",3,15,0
813124000009,"Gaines Charter Township, Precinct 9",3,15,0
813402000001,"Grand Rapids Charter Township, Precinct 1",3,16,0
813402000002,"Grand Rapids Charter Township, Precinct 2",0,3,0
813402000003,"Grand Rapids Charter Township, Precinct 3",2,9,0
813402000004,"Grand Rapids Charter Township, Precinct 4",3,20,0
813402000005,"Grand Rapids Charter Township, Precinct 5",0,7,0
813402000006,"Grand Rapids Charter Township, Precinct 6",1,14,0
813400001001,"Grand Rapids City, Ward 1, Precinct 1",0,2,0
813400001002,"Grand Rapids City, Ward 1, Precinct 2",1,1,0
813400001003,"Grand Rapids City, Ward 1, Precinct 3",1,5,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",0,2,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",2,4,0
813400001006,"Grand Rapids City, Ward 1, Precinct 6",0,1,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",2,14,0
813400001008,"Grand Rapids City, Ward 1, Precinct 8",0,5,0
813400001009,"Grand Rapids City, Ward 1, Precinct 9",0,1,0
813400001010,"Grand Rapids City, Ward 1, Precinct 10",2,1,0
813400001011,"Grand Rapids City, Ward 1, Precinct 11",0,6,0
813400001012,"Grand Rapids City, Ward 1, Precinct 12",0,0,0
813400001013,"Grand Rapids City, Ward 1, Precinct 13",0,0,0
813400001014,"Grand Rapids City, Ward 1, Precinct 14",1,8,0
813400001015,"Grand Rapids City, Ward 1, Precinct 15",0,0,0
813400001016,"Grand Rapids City, Ward 1, Precinct 16",2,9,0
813400001017,"Grand Rapids City, Ward 1, Precinct 17",5,6,0
813400001018,"Grand Rapids City, Ward 1, Precinct 18",2,5,0
813400001019,"Grand Rapids City, Ward 1, Precinct 19",2,5,1
813400001020,"Grand Rapids City, Ward 1, Precinct 20",0,0,0
813400002021,"Grand Rapids City, Ward 2, Precinct 21",1,0,0
813400002022,"Grand Rapids City, Ward 2, Precinct 22",1,5,0
813400002023,"Grand Rapids City, Ward 2, Precinct 23",0,9,0
813400002024,"Grand Rapids City, Ward 2, Precinct 24",0,6,0
813400002025,"Grand Rapids City, Ward 2, Precinct 25",1,3,0
813400002026,"Grand Rapids City, Ward 2, Precinct 26",3,3,0
813400002027,"Grand Rapids City, Ward 2, Precinct 27",0,3,0
813400002028,"Grand Rapids City, Ward 2, Precinct 28",2,13,0
813400002029,"Grand Rapids City, Ward 2, Precinct 29",1,4,0
813400002030,"Grand Rapids City, Ward 2, Precinct 30",5,14,0
813400002031,"Grand Rapids City, Ward 2, Precinct 31",0,3,0
813400002032,"Grand Rapids City, Ward 2, Precinct 32",0,3,1
813400002033,"Grand Rapids City, Ward 2, Precinct 33",0,4,0
813400002034,"Grand Rapids City, Ward 2, Precinct 34",0,5,0
813400002035,"Grand Rapids City, Ward 2, Precinct 35",2,10,0
813400002036,"Grand Rapids City, Ward 2, Precinct 36",2,21,0
813400002037,"Grand Rapids City, Ward 2, Precinct 37",1,13,0
813400002038,"Grand Rapids City, Ward 2, Precinct 38",4,2,0
813400002039,"Grand Rapids City, Ward 2, Precinct 39",0,12,0
813400002040,"Grand Rapids City, Ward 2, Precinct 40",0,2,0
813400003041,"Grand Rapids City, Ward 3, Precinct 41",0,3,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",3,5,0
813400003043,"Grand Rapids City, Ward 3, Precinct 43",2,7,0
813400003044,"Grand Rapids City, Ward 3, Precinct 44",5,9,0
813400003045,"Grand Rapids City, Ward 3, Precinct 45",0,7,0
813400003046,"Grand Rapids City, Ward 3, Precinct 46",1,4,0
813400003047,"Grand Rapids City, Ward 3, Precinct 47",0,0,0
813400003048,"Grand Rapids City, Ward 3, Precinct 48",0,2,0
813400003049,"Grand Rapids City, Ward 3, Precinct 49",0,0,0
813400003050,"Grand Rapids City, Ward 3, Precinct 50",0,0,0
813400003051,"Grand Rapids City, Ward 3, Precinct 51",0,4,0
813400003052,"Grand Rapids City, Ward 3, Precinct 52",0,1,0
813400003053,"Grand Rapids City, Ward 3, Precinct 53",1,2,0
813400003054,"Grand Rapids City, Ward 3, Precinct 54",0,1,0
813400003055,"Grand Rapids City, Ward 3, Precinct 55",1,0,0
813400003056,"Grand Rapids City, Ward 3, Precinct 56",1,3,0
813400003057,"Grand Rapids City, Ward 3, Precinct 57",0,0,0
813400003058,"Grand Rapids City, Ward 3, Precinct 58",0,0,0
813400003059,"Grand Rapids City, Ward 3, Precinct 59",2,6,0
813416000001,"Grandville City, Precinct 1",5,13,0
813416000002,"Grandville City, Precinct 2",3,15,0
813416000003,"Grandville City, Precinct 3",1,9,0
813416000004,"Grandville City, Precinct 4",5,7,0
813416000005,"Grandville City, Precinct 5",5,17,0
813416000006,"Grandville City, Precinct 6",2,15,0
814282001001,"Kentwood City, Ward 1, Precinct 1",0,7,0
814282001002,"Kentwood City, Ward 1, Precinct 2",1,17,0
814282001003,"Kentwood City, Ward 1, Precinct 3",2,10,0
814282001004,"Kentwood City, Ward 1, Precinct 4",1,2,0
814282001005,"Kentwood City, Ward 1, Precinct 5",1,0,0
814282001006,"Kentwood City, Ward 1, Precinct 6",5,9,0
814282001007,"Kentwood City, Ward 1, Precinct 7",1,7,0
814282001008,"Kentwood City, Ward 1, Precinct 8",1,14,0
814282001009,"Kentwood City, Ward 1, Precinct 9",0,0,0
814282001017,"Kentwood City, Ward 1, Precinct 17",2,8,0
814282002010,"Kentwood City, Ward 2, Precinct 10",2,11,0
814282002011,"Kentwood City, Ward 2, Precinct 11",0,10,0
814282002012,"Kentwood City, Ward 2, Precinct 12",4,13,0
814282002013,"Kentwood City, Ward 2, Precinct 13",2,7,0
814282002014,"Kentwood City, Ward 2, Precinct 14",2,8,0
814282002015,"Kentwood City, Ward 2, Precinct 15",2,2,0
814282002016,"Kentwood City, Ward 2, Precinct 16",2,10,0
816466000001,"Plainfield Charter Township, Precinct 1",8,32,0
816466000002,"Plainfield Charter Township, Precinct 2",6,7,0
816466000003,"Plainfield Charter Township, Precinct 3",3,19,0
816466000004,"Plainfield Charter Township, Precinct 4",1,6,0
816466000006,"Plainfield Charter Township, Precinct 6",12,17,1
816466000007,"Plainfield Charter Township, Precinct 7",6,24,0
816466000008,"Plainfield Charter Township, Precinct 8",0,10,0
816466000009,"Plainfield Charter Township, Precinct 9",2,12,0
816466000010,"Plainfield Charter Township, Precinct 10",5,31,0
816466000011,"Plainfield Charter Township, Precinct 11",10,29,0
816908000001,"Rockford City, Precinct 1",5,16,0
816908000002,"Rockford City, Precinct 2",4,26,0
818296001001,"Walker City, Ward 1, Precinct 1",2,5,0
818296001002,"Walker City, Ward 1, Precinct 2",3,9,0
818296002003,"Walker City, Ward 2, Precinct 3",1,17,0
818296002004,"Walker City, Ward 2, Precinct 4",4,19,0
818296003005,"Walker City, Ward 3, Precinct 5",0,13,0
