id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
810116000001,"Algoma Township, Precinct 1",20,25,8,2
810116000002,"Algoma Township, Precinct 2",19,30,11,0
810116000003,"Algoma Township, Precinct 3",49,46,12,0
810116000004,"Algoma Township, Precinct 4",44,42,4,1
810116000005,"Algoma Township, Precinct 5",72,73,26,2
810978000001,"Bowne Township, Precinct 1",53,43,12,0
811250000001,"Caledonia Charter Township, Precinct 1",35,37,11,2
811250000002,"Caledonia Charter Township, Precinct 2",52,48,13,1
811250000003,"Caledonia Charter Township, Precinct 3",45,30,12,2
811250000004,"Caledonia Charter Township, Precinct 4",25,22,8,0
811250000005,"Caledonia Charter Township, Precinct 5",61,53,16,2
811250000006,"Caledonia Charter Township, Precinct 6",53,47,17,4
811420000001,"Cedar Springs City, Precinct 1",41,75,13,1
811850000001,"Courtland Township, Precinct 1",36,51,17,3
811850000002,"Courtland Township, Precinct 2",56,63,18,0
811850000003,"Courtland Township, Precinct 3",53,57,10,0
813456000001,"Grattan Township, Precinct 1",31,43,5,0
813456000002,"Grattan Township, Precinct 2",41,35,8,1
814956000001,"Lowell Charter Township, Precinct 1",80,64,18,5
814956000002,"Lowell Charter Township, Precinct 2",93,72,20,1
814954000001,"Lowell City, Precinct 1",87,44,8,2
814954000002,"Lowell City, Precinct 2",37,34,7,0
815692000001,"Nelson Township, Precinct 1",24,48,7,4
815692000002,"Nelson Township, Precinct 2",30,26,7,0
815958000001,"Oakfield Township, Precinct 1",25,37,12,1
815958000002,"Oakfield Township, Precinct 2",22,50,12,3
815958000003,"Oakfield Township, Precinct 3",36,25,5,0
817446000001,"Solon Township, Precinct 1",27,34,9,3
817446000002,"Solon Township, Precinct 2",31,43,10,2
817446000003,"Solon Township, Precinct 3",21,21,9,0
817544000001,"Sparta Township, Precinct 1",77,80,20,6
817544000002,"Sparta Township, Precinct 2",71,82,17,3
817556000001,"Spencer Township, Precinct 1",28,32,12,1
817556000002,"Spencer Township, Precinct 2",23,25,4,1
818114000001,"Tyrone Township, Precinct 1",39,54,18,6
818192000001,"Vergennes Township, Precinct 1",54,31,17,2
818192000002,"Vergennes Township, Precinct 2",50,44,21,1
