id,name,board,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
1034122000001,"City of Ishpeming, Precinct 1",,523,79,314,0,5486,1399,0,0,916,25.5
city-of-marquette-ward-1-precinct-1,"City of Marquette, Ward 1, Precinct 1",,653,66,405,0,4200,1648,0,0,1124,39.24
city-of-marquette-ward-1-precinct-2,"City of Marquette, Ward 1, Precinct 2",,374,27,250,1,2381,977,0,0,651,41.03
city-of-marquette-ward-1-precinct-3,"City of Marquette, Ward 1, Precinct 3",,935,36,278,2,3850,1528,0,0,1249,39.69
city-of-marquette-ward-1-precinct-4,"City of Marquette, Ward 1, Precinct 4",,834,51,333,0,4481,1527,0,0,1218,34.08
1035686000001,"City of Negaunee, Precinct 1",,490,53,313,2,3900,1264,0,0,856,32.41
1031454000001,"Champion Township, Precinct 1",,34,7,16,0,234,72,0,0,57,30.77
chocolay-charter-township-precinct-1,"Chocolay Charter Township, Precinct 1",,394,34,216,1,2708,1077,0,0,644,39.77
chocolay-charter-township-precinct-2,"Chocolay Charter Township, Precinct 2",,405,23,252,1,2540,1136,0,0,680,44.72
1032582000001,"Ely Township, Precinct 1",,137,25,144,0,1793,539,0,0,306,30.06
1032684000001,"Ewing Township, Precinct 1",,12,7,13,0,137,65,0,0,32,47.45
1032972000001,"Forsyth Township, Precinct 1",,249,33,271,1,2865,1151,0,0,553,40.17
1032972000002,"Forsyth Township, Precinct 2",,53,16,67,0,961,359,0,0,136,37.36
1032972000003,"Forsyth Township, Precinct 3",,115,18,43,0,1807,322,0,0,176,17.82
1033994000001,"Humboldt Township, Precinct 1",,30,8,33,0,425,151,0,0,71,35.53
1034124000001,"Ishpeming Township, Precinct 1",,271,67,241,1,3137,1038,0,0,579,33.09
marquette-charter-township-precinct-1,"Marquette Charter Township, Precinct 1",,515,85,344,1,3757,1513,0,0,944,40.27
1035354000001,"Michigamme Township, Precinct 1",,22,5,25,0,328,121,0,0,52,36.89
1035688000001,"Negaunee Township, Precinct 1",,289,31,221,1,2874,896,0,0,541,31.18
1036612000001,"Powell Township, Precinct 1",,100,20,60,0,836,320,0,0,180,38.28
1036800000001,"Republic Township, Precinct 1",,82,7,93,0,1006,360,0,0,182,35.79
1036842000001,"Richmond Township, Precinct 1",,80,12,64,0,691,247,0,0,156,35.75
1037146000001,"Sands Township, Precinct 1",,202,48,163,0,1990,751,0,0,413,37.74
1037411000001,"Skandia Township, Precinct 1",,83,6,51,1,768,282,0,0,140,36.72
1037978000001,"Tilden Township, Precinct 1",,67,12,60,0,869,267,0,0,139,30.72
1038078000001,"Turin Township, Precinct 1",,5,3,12,0,119,45,0,0,20,37.82
0418524000001,"Wells Township, Precinct 1",,9,3,17,0,228,72,0,0,29,31.58
1038554000001,"West Branch Township, Precinct 1",,144,8,72,0,1465,415,0,0,224,28.33
