id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
1034122000001,"City of Ishpeming, Precinct 1",,74,193,162,11,0,5486,1399,0,0,440,25.5
1035190000001,"City of Marquette, Ward 1, Precinct 1",,40,212,175,12,1,4200,1648,0,0,439,39.24
1035190000002,"City of Marquette, Ward 1, Precinct 2",,38,124,103,2,0,2381,977,0,0,267,41.03
1035190000003,"City of Marquette, Ward 1, Precinct 3",,28,108,93,2,1,3850,1528,0,0,231,39.69
1035190000004,"City of Marquette, Ward 1, Precinct 4",,33,111,91,6,0,4481,1527,0,0,241,34.08
1035686000001,"City of Negaunee, Precinct 1",,33,181,122,13,0,3900,1264,0,0,349,32.41
1031454000001,"Champion Township, Precinct 1",,2,3,8,0,0,234,72,0,0,13,30.77
1031566000001,"Chocolay Charter Township, Precinct 1",,55,168,157,12,4,2708,1077,0,0,392,39.77
1031566000002,"Chocolay Charter Township, Precinct 2",,63,201,150,5,2,2540,1136,0,0,419,44.72
1032582000001,"Ely Township, Precinct 1",,22,95,101,1,1,1793,539,0,0,219,30.06
1032684000001,"Ewing Township, Precinct 1",,5,13,14,1,0,137,65,0,0,33,47.45
1032972000001,"Forsyth Township, Precinct 1",,87,230,186,14,1,2865,1151,0,0,517,40.17
1032972000002,"Forsyth Township, Precinct 2",,30,94,68,2,0,961,359,0,0,194,37.36
1032972000003,"Forsyth Township, Precinct 3",,17,80,28,4,0,1807,322,0,0,129,17.82
1033994000001,"Humboldt Township, Precinct 1",,9,20,41,2,1,425,151,0,0,72,35.53
1034124000001,"Ishpeming Township, Precinct 1",,66,173,152,12,1,3137,1038,0,0,403,33.09
1035192000001,"Marquette Charter Township, Precinct 1",,59,217,173,5,1,3757,1513,0,0,454,40.27
1035354000001,"Michigamme Township, Precinct 1",,3,37,21,0,0,328,121,0,0,61,36.89
1035688000001,"Negaunee Township, Precinct 1",,26,150,129,8,1,2874,896,0,0,313,31.18
1036612000001,"Powell Township, Precinct 1",,14,45,59,5,0,836,320,0,0,123,38.28
1036800000001,"Republic Township, Precinct 1",,24,60,70,5,0,1006,360,0,0,159,35.79
1036842000001,"Richmond Township, Precinct 1",,9,30,33,2,0,691,247,0,0,74,35.75
1037146000001,"Sands Township, Precinct 1",,41,144,111,7,0,1990,751,0,0,303,37.74
1037411000001,"Skandia Township, Precinct 1",,24,57,46,4,1,768,282,0,0,131,36.72
1037978000001,"Tilden Township, Precinct 1",,19,49,44,1,0,869,267,0,0,113,30.72
1038078000001,"Turin Township, Precinct 1",,5,7,9,2,0,119,45,0,0,23,37.82
1038526000001,"Wells Township, Precinct 1",,7,16,17,0,0,228,72,0,0,40,31.58
1038554000001,"West Branch Township, Precinct 1",,15,87,58,9,0,1465,415,0,0,169,28.33
