id,name,board,Mike Rogers,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
1034122000001,"City of Ishpeming, Precinct 1",,420,3,5486,1399,0,0,420,25.5
city-of-marquette-ward-1-precinct-1,"City of Marquette, Ward 1, Precinct 1",,417,0,4200,1648,0,0,417,39.24
city-of-marquette-ward-1-precinct-2,"City of Marquette, Ward 1, Precinct 2",,254,1,2381,977,0,0,254,41.03
city-of-marquette-ward-1-precinct-3,"City of Marquette, Ward 1, Precinct 3",,211,4,3850,1528,0,0,211,39.69
city-of-marquette-ward-1-precinct-4,"City of Marquette, Ward 1, Precinct 4",,227,1,4481,1527,0,0,227,34.08
1035686000001,"City of Negaunee, Precinct 1",,322,1,3900,1264,0,0,322,32.41
1031454000001,"Champion Township, Precinct 1",,12,0,234,72,0,0,12,30.77
chocolay-charter-township-precinct-1,"Chocolay Charter Township, Precinct 1",,373,2,2708,1077,0,0,373,39.77
chocolay-charter-township-precinct-2,"Chocolay Charter Township, Precinct 2",,401,1,2540,1136,0,0,401,44.72
1032582000001,"Ely Township, Precinct 1",,210,1,1793,539,0,0,210,30.06
1032684000001,"Ewing Township, Precinct 1",,32,0,137,65,0,0,32,47.45
1032972000001,"Forsyth Township, Precinct 1",,490,3,2865,1151,0,0,490,40.17
1032972000002,"Forsyth Township, Precinct 2",,182,0,961,359,0,0,182,37.36
1032972000003,"Forsyth Township, Precinct 3",,118,2,1807,322,0,0,118,17.82
1033994000001,"Humboldt Township, Precinct 1",,68,0,425,151,0,0,68,35.53
1034124000001,"Ishpeming Township, Precinct 1",,391,3,3137,1038,0,0,391,33.09
marquette-charter-township-precinct-1,"Marquette Charter Township, Precinct 1",,430,0,3757,1513,0,0,430,40.27
1035354000001,"Michigamme Township, Precinct 1",,56,0,328,121,0,0,56,36.89
1035688000001,"Negaunee Township, Precinct 1",,297,1,2874,896,0,0,297,31.18
1036612000001,"Powell Township, Precinct 1",,118,1,836,320,0,0,118,38.28
1036800000001,"Republic Township, Precinct 1",,148,2,1006,360,0,0,148,35.79
1036842000001,"Richmond Township, Precinct 1",,68,0,691,247,0,0,68,35.75
1037146000001,"Sands Township, Precinct 1",,291,2,1990,751,0,0,291,37.74
1037411000001,"Skandia Township, Precinct 1",,127,0,768,282,0,0,127,36.72
1037978000001,"Tilden Township, Precinct 1",,104,0,869,267,0,0,104,30.72
1038078000001,"Turin Township, Precinct 1",,23,0,119,45,0,0,23,37.82
0418524000001,"Wells Township, Precinct 1",,38,0,228,72,0,0,38,31.58
1038554000001,"West Branch Township, Precinct 1",,157,2,1465,415,0,0,157,28.33
