id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Jocelyn Benson,Christopher Robert Swanson
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,321,24.61,2,274,47
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,364,23.75,1,279,85
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,374,33.05,1,320,54
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,72,22.02,1,54,18
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,90,35.41,0,68,22
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,79,32.19,1,59,20
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,139,21.45,0,112,27
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,334,37.97,1,270,64
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,248,33.11,0,222,26
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,88,34.86,0,77,11
1653524000001,"Greenwood Township, Precinct 1",,497,169,0,0,51,34.0,0,48,3
1653642000001,"Hanover Township, Precinct 1",,1404,409,0,0,155,29.13,1,124,31
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,294,30.6,0,235,59
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,23,32.97,0,19,4
1654738000001,"Liberty Township, Precinct 1",,692,210,0,0,46,30.35,0,34,12
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,228,34.28,2,195,33
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,42,27.82,0,32,10
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,60,16.99,0,54,6
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,146,31.99,1,114,32
1658650000001,"Wexford Township, Precinct 1",,959,277,0,0,89,28.88,2,70,19
