id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,John Moolenaar
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,289,24.61,0,289
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,236,23.75,2,236
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,365,33.05,3,365
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,112,22.02,3,112
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,144,35.41,0,144
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,87,32.19,2,87
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,200,21.45,1,200
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,393,37.97,2,393
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,389,33.11,1,389
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,143,34.86,2,143
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,464,30.6,5,464
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,26,32.97,0,26
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,320,34.28,2,320
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,79,27.82,0,79
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,69,16.99,0,69
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,260,31.99,6,260
1658650000001,"Wexford Township, Precinct 1",,242,68,0,0,49,28.1,0,49
