id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Ben Ambrose,Jamie Hill,Clyde Welford
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,291,24.61,1,140,122,29
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,338,23.75,2,122,174,42
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,334,33.05,1,147,119,68
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,68,22.02,0,24,39,5
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,81,35.41,1,34,34,13
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,67,32.19,2,26,29,12
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,125,21.45,1,63,50,12
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,296,37.97,1,137,127,32
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,222,33.11,1,114,62,46
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,82,34.86,0,41,27,14
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,263,30.6,2,104,123,36
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,22,32.97,0,11,8,3
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,205,34.28,0,99,85,21
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,38,27.82,0,17,14,7
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,52,16.99,0,22,19,11
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,127,31.99,3,49,55,23
1658650000001,"Wexford Township, Precinct 1",,242,68,0,0,14,28.1,0,6,1,7
