id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal
1653524000001,"Greenwood Township, Precinct 1",,497,169,0,0,110,34.0,1,91,11,8
1653642000001,"Hanover Township, Precinct 1",,1404,409,0,0,235,29.13,0,190,24,21
1654738000001,"Liberty Township, Precinct 1",,692,210,0,0,156,30.35,1,123,14,19
1658650000001,"Wexford Township, Precinct 1",,717,209,0,0,122,29.15,0,96,17,9
