id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,304,24.61,0,56,139,104,5
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,249,23.75,0,35,123,85,6
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,390,33.05,0,68,177,143,2
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,122,22.02,1,21,51,47,3
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,157,35.41,0,25,85,45,2
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,95,32.19,0,13,30,50,2
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,207,21.45,2,23,87,95,2
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,427,37.97,1,57,201,165,4
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,403,33.11,1,53,197,147,6
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,154,34.86,0,14,75,62,3
1653524000001,"Greenwood Township, Precinct 1",,497,169,0,0,113,34.0,0,8,64,36,5
1653642000001,"Hanover Township, Precinct 1",,1404,409,0,0,245,29.13,0,28,131,84,2
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,506,30.6,1,79,206,213,8
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,34,32.97,0,5,18,11,0
1654738000001,"Liberty Township, Precinct 1",,692,210,0,0,156,30.35,1,16,66,73,1
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,340,34.28,3,47,152,133,8
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,86,27.82,0,23,26,37,0
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,78,16.99,0,10,38,30,0
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,281,31.99,6,47,132,97,5
1658650000001,"Wexford Township, Precinct 1",,959,277,0,0,177,28.88,1,21,77,74,5
