id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Mike Rogers
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,293,24.61,1,293
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,240,23.75,1,240
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,374,33.05,2,374
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,119,22.02,1,119
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,148,35.41,1,148
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,88,32.19,2,88
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,203,21.45,0,203
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,401,37.97,1,401
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,398,33.11,0,398
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,148,34.86,1,148
1653524000001,"Greenwood Township, Precinct 1",,497,169,0,0,111,34.0,1,111
1653642000001,"Hanover Township, Precinct 1",,1404,409,0,0,232,29.13,0,232
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,476,30.6,4,476
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,30,32.97,0,30
1654738000001,"Liberty Township, Precinct 1",,692,210,0,0,155,30.35,1,155
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,322,34.28,2,322
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,84,27.82,0,84
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,75,16.99,0,75
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,266,31.99,7,266
1658650000001,"Wexford Township, Precinct 1",,959,277,0,0,170,28.88,2,170
