id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1070050000001,"Aetna Township, Precinct 1",,1869,417,0,0,297,22.31,0,44,117,128,8
1070438000001,"Austin Township, Precinct 1",,1287,314,0,0,178,24.4,0,18,103,56,1
1070832000001,"Big Rapids Charter Township, Precinct 1",,3184,980,0,0,475,30.78,1,68,196,193,18
1071560000001,"Chippewa Township, Precinct 1",,1088,400,0,0,235,36.76,3,34,108,88,5
1071716000001,"Colfax Township, Precinct 1",,1792,544,0,0,297,30.36,0,48,127,115,7
1072124000001,"Deerfield Township, Precinct 1",,1351,323,0,0,206,23.91,0,18,102,83,3
1072968000001,"Fork Township, Precinct 1",,1367,345,0,0,195,25.24,0,31,71,90,3
1073434000001,"Grant Township, Precinct 1",,612,178,0,0,115,29.08,0,18,40,47,10
1073476000001,"Green Charter Township, Precinct 1",,2746,836,0,0,472,30.44,1,66,187,207,12
1073854000001,"Hinton Township, Precinct 1",,853,254,0,0,166,29.78,0,20,82,60,4
1075206000001,"Martiny Township, Precinct 1",,1504,457,0,0,248,30.39,0,40,105,99,4
1075278000001,"Mecosta Township, Precinct 1",,2294,659,0,0,381,28.73,0,44,187,145,5
1075402000001,"Millbrook Township, Precinct 1",,880,220,0,0,136,25.0,0,22,64,45,5
1075560000001,"Morton Township, Precinct 1",,2198,827,0,0,447,37.63,2,61,238,146,2
1075560000002,"Morton Township, Precinct 2",,2010,916,0,0,521,45.57,0,82,256,179,4
1077308000001,"Sheridan Township, Precinct 1",,1146,288,0,0,165,25.13,0,25,90,48,2
1078656000001,"Wheatland Township, Precinct 1",,1115,346,0,0,183,31.03,1,27,92,61,3
1070830000001,"City of Big Rapids, Precinct 1",,2651,475,0,0,171,17.92,0,17,95,58,1
1070830000002,"City of Big Rapids, Precinct 2",,2567,524,0,0,141,20.41,0,25,66,47,3
