id,name,John Moolenaar,Write-in
351592000001,"City of Clare, Precinct 1",157,2
353680000001,"City of Harrison, Precinct 1",194,0
350362000001,"Arthur Township, Precinct 1",101,0
353028000001,"Franklin Township, Precinct 1",115,0
353056000001,"Freeman Township, Precinct 1",181,1
353090000001,"Frost Township, Precinct 1",153,1
353156000001,"Garfield Township, Precinct 1",268,1
353422000001,"Grant Township, Precinct 1",424,1
353512000001,"Greenwood Township, Precinct 1",180,0
353614000001,"Hamilton Township, Precinct 1",293,1
353716000001,"Hatton Township, Precinct 1",145,0
353734000001,"Hayes Township, Precinct 1",239,2
353734000002,"Hayes Township, Precinct 2",273,2
354762000001,"Lincoln Township, Precinct 1",148,3
356760000001,"Redding Township, Precinct 1",71,0
357300000001,"Sheridan Township, Precinct 1",159,1
357712000001,"Summerfield Township, Precinct 1",62,1
357758000001,"Surrey Township, Precinct 1",177,0
358798000001,"Winterfield Township, Precinct 1",74,1
