id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
490342000001,"Argentine Township, Precinct 1",396,,,1,187,144,64
490342000002,"Argentine Township, Precinct 2",292,,,2,152,87,51
490342000003,"Argentine Township, Precinct 3",100,,,0,54,34,12
490400000001,"Atlas Township, Precinct 1",410,,,1,203,155,51
490400000002,"Atlas Township, Precinct 2",219,,,2,106,70,41
490400000003,"Atlas Township, Precinct 3",504,,,1,271,154,78
491206000001,"City of Burton, Precinct 1",48,,,0,27,11,10
491206000002,"City of Burton, Precinct 2",212,,,0,133,47,32
491206000003,"City of Burton, Precinct 3",253,,,1,154,63,35
491206000004,"City of Burton, Precinct 4",351,,,2,185,109,55
491206000005,"City of Burton, Precinct 5",314,,,2,166,96,50
491206000006,"City of Burton, Precinct 6",229,,,0,140,49,40
491206000007,"City of Burton, Precinct 7",307,,,0,166,102,39
491626000001,"Clayton Township, Precinct 1",289,,,1,127,103,58
491626000002,"Clayton Township, Precinct 2",207,,,2,105,62,38
491626000003,"Clayton Township, Precinct 3",122,,,0,76,27,19
491626000004,"Clayton Township, Precinct 4",159,,,0,83,47,29
491662000001,"City of Clio, Precinct 1",172,,,0,105,53,14
491988000001,"City of Davison, Precinct 1",208,,,0,102,70,36
491988000002,"City of Davison, Precinct 2",189,,,1,105,40,43
491990000001,"Davison Township, Precinct 1",283,,,0,169,69,45
491990000002,"Davison Township, Precinct 2",293,,,0,151,95,47
491990000003,"Davison Township, Precinct 3",237,,,1,131,65,40
491990000004,"Davison Township, Precinct 4",250,,,0,158,69,23
491990000005,"Davison Township, Precinct 5",120,,,1,49,50,20
491990000006,"Davison Township, Precinct 6",171,,,0,90,45,36
491990000007,"Davison Township, Precinct 7",245,,,0,148,67,30
491990000008,"Davison Township, Precinct 8",370,,,1,195,118,56
492776000001,"City of Fenton, Precinct 1",166,,,0,108,39,19
492776000002,"City of Fenton, Precinct 2",363,,,0,185,125,53
492776000003,"City of Fenton, Precinct 3",320,,,0,144,119,57
492778000001,"Fenton Township, Precinct 1",385,,,0,183,147,55
492778000002,"Fenton Township, Precinct 2",422,,,2,228,128,64
492778000003,"Fenton Township, Precinct 3",398,,,2,186,144,66
492778000004,"Fenton Township, Precinct 4",364,,,0,175,129,60
492778000005,"Fenton Township, Precinct 5",351,,,0,174,132,45
492778000006,"Fenton Township, Precinct 6",406,,,0,183,149,74
492900001001,"City of Flint, Precinct 1",11,,,0,5,3,3
492900001002,"City of Flint, Precinct 2",19,,,1,6,8,4
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0
492900002004,"City of Flint, Precinct 4",2,,,0,1,0,1
492900002005,"City of Flint, Precinct 5",18,,,0,10,4,4
492900002006,"City of Flint, Precinct 6",9,,,0,5,2,2
492900002007,"City of Flint, Precinct 7",3,,,0,2,1,0
492900003008,"City of Flint, Precinct 8",7,,,0,5,2,0
492900003009,"City of Flint, Precinct 9",11,,,0,6,5,0
492900003010,"City of Flint, Precinct 10",65,,,0,34,13,18
492900004011,"City of Flint, Precinct 11",62,,,0,43,13,6
492900004012,"City of Flint, Precinct 12",152,,,1,90,45,16
492900005013,"City of Flint, Precinct 13",3,,,0,2,1,0
492900005014,"City of Flint, Precinct 14",24,,,0,13,9,2
492900005015,"City of Flint, Precinct 15",65,,,0,34,19,12
492900006016,"City of Flint, Precinct 16",49,,,0,31,12,6
492900006017,"City of Flint, Precinct 17",105,,,0,64,23,18
492900006018,"City of Flint, Precinct 18",15,,,0,13,1,1
492900007019,"City of Flint, Precinct 19",4,,,1,2,1,0
492900007020,"City of Flint, Precinct 20",86,,,0,34,43,9
492900007021,"City of Flint, Precinct 21",52,,,1,24,17,10
492900008022,"City of Flint, Precinct 22",7,,,0,6,0,1
492900008023,"City of Flint, Precinct 23",108,,,0,50,35,23
492900008024,"City of Flint, Precinct 24",85,,,0,43,27,15
492900009025,"City of Flint, Precinct 25",2,,,0,0,0,2
492900009026,"City of Flint, Precinct 26",26,,,0,21,2,3
492900009027,"City of Flint, Precinct 27",4,,,0,4,0,0
492900009028,"City of Flint, Precinct 28",46,,,1,17,17,11
492900009029,"City of Flint, Precinct 29",77,,,0,55,11,11
492902000001,"Flint Township, Precinct 1",176,,,0,81,61,34
492902000002,"Flint Township, Precinct 2",117,,,0,68,24,25
492902000003,"Flint Township, Precinct 3",382,,,1,233,95,53
492902000004,"Flint Township, Precinct 4",88,,,0,34,39,15
492902000005,"Flint Township, Precinct 5",194,,,0,76,74,44
492902000006,"Flint Township, Precinct 6",63,,,0,34,21,8
492902000007,"Flint Township, Precinct 7",106,,,1,62,29,14
492902000008,"Flint Township, Precinct 8",298,,,0,145,103,50
492920000001,"City of Flushing, Precinct 1",158,,,0,81,49,28
492920000002,"City of Flushing, Precinct 2",162,,,1,79,59,23
492920000003,"City of Flushing, Precinct 3",174,,,0,90,56,28
492920000004,"City of Flushing, Precinct 4",213,,,1,130,56,26
492922000001,"Flushing Township, Precinct 1",309,,,1,176,90,42
492922000002,"Flushing Township, Precinct 2",205,,,0,116,54,35
492922000003,"Flushing Township, Precinct 3",361,,,0,202,110,49
492922000004,"Flushing Township, Precinct 4",238,,,0,111,88,39
492942000001,"Forest Township, Precinct 1",641,,,0,339,192,110
493122000001,"Gaines Township, Precinct 1",390,,,0,221,124,45
493122000002,"Gaines Township, Precinct 2",182,,,0,98,61,23
493122000003,"Gaines Township, Precinct 3",267,,,1,140,73,53
493180000001,"Genesee Township, Precinct 1",191,,,0,123,50,18
493180000002,"Genesee Township, Precinct 2",29,,,0,17,8,4
493180000003,"Genesee Township, Precinct 3",232,,,0,126,60,46
493180000004,"Genesee Township, Precinct 4",229,,,0,141,58,30
493180000005,"Genesee Township, Precinct 5",243,,,0,135,67,41
493180000006,"Genesee Township, Precinct 6",189,,,0,109,50,30
493180000007,"Genesee Township, Precinct 7",187,,,0,110,43,34
493328000001,"City of Grand Blanc, Precinct 1",344,,,0,133,155,56
493328000002,"City of Grand Blanc, Precinct 2",315,,,1,148,99,67
493330000001,"Grand Blanc Township, Precinct 1",260,,,0,137,88,35
493330000002,"Grand Blanc Township, Precinct 2",108,,,0,62,29,17
493330000003,"Grand Blanc Township, Precinct 3",393,,,2,187,124,80
493330000004,"Grand Blanc Township, Precinct 4",405,,,0,228,123,54
493330000005,"Grand Blanc Township, Precinct 5",325,,,1,119,135,70
493330000006,"Grand Blanc Township, Precinct 6",301,,,0,118,127,56
493330000007,"Grand Blanc Township, Precinct 7",417,,,0,221,144,52
493330000008,"Grand Blanc Township, Precinct 8",453,,,2,198,166,87
493330000009,"Grand Blanc Township, Precinct 9",232,,,1,116,81,34
493330000010,"Grand Blanc Township, Precinct 10",146,,,0,75,49,22
494782000001,"City of Linden, Precinct 1",521,,,2,245,196,78
495528000001,"City of Montrose, Precinct 1",113,,,1,61,23,28
495530000001,"Montrose Township, Precinct 1",121,,,0,60,36,25
495530000002,"Montrose Township, Precinct 2",108,,,0,64,32,12
495530000003,"Montrose Township, Precinct 3",156,,,1,84,44,27
495530000004,"Montrose Township, Precinct 4",195,,,0,109,68,18
495596000001,"City of Mount Morris, Precinct 1",99,,,0,52,35,12
495598000001,"Mount Morris Township, Precinct 1",53,,,0,25,16,12
495598000002,"Mount Morris Township, Precinct 2",147,,,0,76,45,26
495598000003,"Mount Morris Township, Precinct 3",106,,,0,66,30,10
495598000004,"Mount Morris Township, Precinct 4",165,,,1,84,51,29
495598000005,"Mount Morris Township, Precinct 5",59,,,1,29,24,5
495598000006,"Mount Morris Township, Precinct 6",42,,,1,22,15,4
495598000007,"Mount Morris Township, Precinct 7",22,,,0,8,10,4
495598000008,"Mount Morris Township, Precinct 8",22,,,0,13,5,4
495598000009,"Mount Morris Township, Precinct 9",21,,,2,11,7,1
495598000010,"Mount Morris Township, Precinct 10",8,,,0,3,2,3
495616000001,"Mundy Township, Precinct 1",320,,,2,168,101,49
495616000002,"Mundy Township, Precinct 2",190,,,0,89,64,37
495616000003,"Mundy Township, Precinct 3",331,,,0,140,116,75
495616000004,"Mundy Township, Precinct 4",235,,,0,139,72,24
495616000005,"Mundy Township, Precinct 5",192,,,2,95,57,38
495616000006,"Mundy Township, Precinct 6",184,,,1,96,64,23
495616000007,"Mundy Township, Precinct 7",167,,,1,87,52,27
496818000001,"Richfield Township, Precinct 1",644,,,2,333,204,105
496818000002,"Richfield Township, Precinct 2",347,,,0,180,112,55
497770000001,"City of Swartz Creek, Precinct 1",130,,,0,65,43,22
497770000002,"City of Swartz Creek, Precinct 2",99,,,1,55,31,12
497770000003,"City of Swartz Creek, Precinct 3",98,,,2,49,31,16
497770000004,"City of Swartz Creek, Precinct 4",191,,,0,114,58,19
497946000001,"Thetford Township, Precinct 1",269,,,0,149,77,43
497946000003,"Thetford Township, Precinct 2",303,,,0,162,79,62
498238000001,"Vienna Township, Precinct 1",312,,,0,162,94,56
498238000002,"Vienna Township, Precinct 2",287,,,1,129,81,76
498238000003,"Vienna Township, Precinct 3",239,,,0,115,57,67
498238000004,"Vienna Township, Precinct 4",249,,,0,133,68,48
498238000005,"Vienna Township, Precinct 5",234,,,1,103,95,35
