id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
495598000002,"Mount Morris Township, Precinct 2",93,,,0,93
495598000003,"Mount Morris Township, Precinct 3",72,,,2,70
495598000004,"Mount Morris Township, Precinct 4",128,,,0,128
495598000005,"Mount Morris Township, Precinct 5",83,,,1,82
495598000006,"Mount Morris Township, Precinct 6",76,,,0,76
495598000007,"Mount Morris Township, Precinct 7",177,,,1,176
495598000008,"Mount Morris Township, Precinct 8",159,,,1,158
495598000009,"Mount Morris Township, Precinct 9",91,,,2,89
495598000010,"Mount Morris Township, Precinct 10",83,,,0,83
495616000001,"Mundy Township, Precinct 1",150,,,2,148
495616000002,"Mundy Township, Precinct 2",126,,,1,125
495616000003,"Mundy Township, Precinct 3",179,,,0,179
495616000004,"Mundy Township, Precinct 4",97,,,0,97
495616000005,"Mundy Township, Precinct 5",77,,,1,76
495616000006,"Mundy Township, Precinct 6",66,,,0,66
495616000007,"Mundy Township, Precinct 7",73,,,0,73
496818000001,"Richfield Township, Precinct 1",254,,,4,250
496818000002,"Richfield Township, Precinct 2",110,,,1,109
497770000001,"City of Swartz Creek, Precinct 1",222,,,1,221
497770000002,"City of Swartz Creek, Precinct 2",222,,,0,222
497770000003,"City of Swartz Creek, Precinct 3",187,,,0,187
497770000004,"City of Swartz Creek, Precinct 4",332,,,0,332
497946000001,"Thetford Township, Precinct 1",92,,,1,91
497946000003,"Thetford Township, Precinct 2",123,,,2,121
498238000001,"Vienna Township, Precinct 1",106,,,0,106
498238000002,"Vienna Township, Precinct 2",102,,,1,101
498238000003,"Vienna Township, Precinct 3",102,,,2,100
498238000004,"Vienna Township, Precinct 4",68,,,0,68
498238000005,"Vienna Township, Precinct 5",56,,,0,56
