id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
490342000001,"Argentine Township, Precinct 1",181,,,0,82,72,27
490342000002,"Argentine Township, Precinct 2",151,,,2,83,51,15
490342000003,"Argentine Township, Precinct 3",45,,,0,29,14,2
490400000001,"Atlas Township, Precinct 1",239,,,0,128,85,26
490400000002,"Atlas Township, Precinct 2",137,,,1,70,44,22
490400000003,"Atlas Township, Precinct 3",257,,,1,132,88,36
491206000001,"City of Burton, Precinct 1",25,,,0,11,9,5
491206000002,"City of Burton, Precinct 2",150,,,0,103,33,14
491206000003,"City of Burton, Precinct 3",149,,,1,94,35,19
491206000004,"City of Burton, Precinct 4",194,,,1,102,59,32
491206000005,"City of Burton, Precinct 5",189,,,1,91,67,30
491206000006,"City of Burton, Precinct 6",131,,,0,72,35,24
491206000007,"City of Burton, Precinct 7",170,,,0,99,55,16
491626000001,"Clayton Township, Precinct 1",268,,,1,115,97,55
491626000002,"Clayton Township, Precinct 2",187,,,2,96,53,36
491626000003,"Clayton Township, Precinct 3",118,,,0,72,27,19
491626000004,"Clayton Township, Precinct 4",144,,,0,78,40,26
491662000001,"City of Clio, Precinct 1",147,,,0,89,46,12
491988000001,"City of Davison, Precinct 1",126,,,0,62,41,23
491988000002,"City of Davison, Precinct 2",115,,,1,70,24,20
491990000001,"Davison Township, Precinct 1",186,,,0,110,45,31
491990000002,"Davison Township, Precinct 2",170,,,0,89,55,26
491990000003,"Davison Township, Precinct 3",132,,,0,82,34,16
491990000004,"Davison Township, Precinct 4",82,,,0,55,20,7
491990000005,"Davison Township, Precinct 5",80,,,0,39,27,14
491990000006,"Davison Township, Precinct 6",86,,,0,48,30,8
491990000007,"Davison Township, Precinct 7",125,,,0,80,36,9
491990000008,"Davison Township, Precinct 8",217,,,1,121,65,30
492776000001,"City of Fenton, Precinct 1",106,,,0,68,26,12
492776000002,"City of Fenton, Precinct 2",201,,,0,106,71,24
492776000003,"City of Fenton, Precinct 3",171,,,0,90,56,25
492778000001,"Fenton Township, Precinct 1",184,,,0,94,63,27
492778000002,"Fenton Township, Precinct 2",234,,,2,118,77,37
492778000003,"Fenton Township, Precinct 3",191,,,1,87,77,26
492778000004,"Fenton Township, Precinct 4",137,,,0,64,62,11
492778000005,"Fenton Township, Precinct 5",186,,,0,101,63,22
492778000006,"Fenton Township, Precinct 6",184,,,0,80,75,29
492900001001,"City of Flint, Precinct 1",8,,,0,5,2,1
