id,name,Bill Huizenga,Philip Tanis,Write-in
1590514000001,"City of Bangor, Precinct 1",71,11,1
1593264000001,"City of Gobles, Precinct 1",63,10,1
1593696000001,"City of Hartford, Precinct 1",141,20,0
1597498001001,"City of South Haven, Ward 1, Precinct 1",108,13,0
1597498002001,"City of South Haven, Ward 2, Precinct 1",96,16,0
1597498003001,"City of South Haven, Ward 3, Precinct 1",136,21,0
1597498003002,"City of South Haven, Ward 3, Precinct 2",,,
1590160000001,"Almena Township, Precinct 1",373,31,1
1590160000002,"Almena Township, Precinct 2",224,25,0
1590314000001,"Antwerp Township, Precinct 1",152,25,1
1590314000002,"Antwerp Township, Precinct 2",295,16,0
1590314000003,"Antwerp Township, Precinct 3",169,22,2
1590314000004,"Antwerp Township, Precinct 4",159,33,1
1590314000005,"Antwerp Township, Precinct 5",295,20,0
1590350000001,"Arlington Township, Precinct 1",180,18,1
1590516000001,"Bangor Township, Precinct 1",199,36,1
1590924000001,"Bloomingdale Township, Precinct 1",370,40,1
1591744000001,"Columbia Township, Precinct 1",219,33,2
1591856000001,"Covert Township, Precinct 1",103,20,0
1592106000001,"Decatur Township, Precinct 1",243,42,2
1593184000001,"Geneva Township, Precinct 1",270,29,1
1593618000001,"Hamilton Township, Precinct 1",148,16,0
1593698000001,"Hartford Township, Precinct 1",257,28,0
1594250000001,"Keeler Township, Precinct 1",203,46,0
1594646000001,"Lawrence Township, Precinct 1",298,25,0
1596300000001,"Paw Paw Township, Precinct 1",210,38,1
1596300000002,"Paw Paw Township, Precinct 2",452,39,1
1596428000001,"Pine Grove Township, Precinct 1",374,49,0
1596576000001,"Porter Township, Precinct 1",353,44,1
1597500000001,"South Haven Charter Township, Precinct 1",203,21,0
1597500000002,"South Haven Charter Township, Precinct 2",112,16,1
1598482000001,"Waverly Township, Precinct 1",240,43,1
