name,id,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
"City of Ann Arbor, Ward 5, Precinct 52",1610300005052,1046,40,466
"City of Ann Arbor, Ward 3, Precinct 24",1610300003024,1103,72,779
"City of Ann Arbor, Ward 3, Precinct 28",1610300003028,831,46,429
"City of Ann Arbor, Ward 1, Precinct 1",1610300001001,62,1,6
"City of Saline, Precinct 1",1617114000001,758,32,524
"Scio Township, Precinct 4",1617194000004,606,26,410
"Pittsfield Charter Township, Precinct 1",1616456000001,411,15,256
"Ypsilanti Township, Precinct 10",1618916000010,992,34,637
"Webster Township, Precinct 1",1618510000001,522,30,403
"City of Ann Arbor, Ward 2, Precinct 16",1610300002016,829,62,916
"Ann Arbor Township, Precinct 1",1610302000001,874,69,706
