name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"Bay Township, Precinct 1",209,20,0
"Boyne Valley Township, Precinct 2",135,19,1
"Chandler Township, Precinct 3",25,5,0
"Charlevoix Township, Precinct 4",298,36,0
"Evangeline Township, Precinct 5",110,11,0
"Eveline Township, Precinct 6",227,37,0
"Hayes Township, Precinct 7",310,29,0
"Hudson Township, Precinct 8",48,13,0
"Marion Township, Precinct 9",216,26,1
"Melrose Township, Precinct 10",185,22,1
"Norwood Township, Precinct 11",134,15,0
"Peaine Township, Precinct 12",65,10,0
"St. James Township, Precinct 13",66,9,0
"South Arm Township, Precinct 14",199,22,1
"Wilson Township, Precinct 15",193,35,2
"City of Boyne City, Precinct 16",549,68,3
"City of Charlevoix, Ward 1, Precinct 18",201,23,0
"City of Charlevoix, Ward 2, Precinct 19",135,29,0
"City of Charlevoix, Ward 3, Precinct 20",105,18,0
"City of East Jordan, Precinct 21",154,35,1
