name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"Bay Township, Precinct 1",31,122,82,0,0
"Boyne Valley Township, Precinct 2",18,70,69,1,1
"Chandler Township, Precinct 3",5,16,19,2,0
"Charlevoix Township, Precinct 4",35,141,72,5,0
"Evangeline Township, Precinct 5",11,84,45,2,0
"Eveline Township, Precinct 6",42,186,112,10,0
"Hayes Township, Precinct 7",50,190,118,3,0
"Hudson Township, Precinct 8",26,51,46,5,2
"Marion Township, Precinct 9",33,105,109,6,0
"Melrose Township, Precinct 10",22,100,42,2,0
"Norwood Township, Precinct 11",28,84,49,3,0
"Peaine Township, Precinct 12",12,39,11,1,1
"St. James Township, Precinct 13",12,19,8,1,1
"South Arm Township, Precinct 14",33,190,109,5,1
"Wilson Township, Precinct 15",22,125,114,2,0
"City of Boyne City, Precinct 16",77,230,159,15,0
"City of Charlevoix, Ward 1, Precinct 18",28,81,33,1,0
"City of Charlevoix, Ward 2, Precinct 19",10,51,36,3,0
"City of Charlevoix, Ward 3, Precinct 20",22,67,34,5,0
"City of East Jordan, Precinct 21",28,95,82,6,0
