name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
"City of Bessemer, Precinct 1",134,26,15,0
"City of Ironwood, Precinct 1",111,13,8,0
"City of Ironwood, Precinct 2",172,21,20,0
"City of Wakefield, Precinct 1",126,31,10,0
"Bessemer Township, Precinct 1",76,16,9,0
"Erwin Township, Precinct 1",31,9,1,0
"Ironwood Charter Township, Precinct 1",236,21,31,0
"Marenisco Township, Precinct 1",74,7,5,0
"Wakefield Township, Precinct 1",38,5,4,0
"Watersmeet Township, Precinct 1",175,27,13,0
