name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"City of Bessemer, Precinct 1",208,38,0
"City of Ironwood, Precinct 1",258,30,0
"City of Ironwood, Precinct 2",279,27,0
"City of Wakefield, Precinct 1",132,21,1
"Bessemer Township, Precinct 1",92,12,0
"Erwin Township, Precinct 1",41,11,0
"Ironwood Charter Township, Precinct 1",280,39,0
"Marenisco Township, Precinct 1",47,13,0
"Wakefield Township, Precinct 1",33,3,0
"Watersmeet Township, Precinct 1",152,15,0
