name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Bessemer, Precinct 1",108,21,113,0
"City of Ironwood, Precinct 1",144,26,121,0
"City of Ironwood, Precinct 2",134,27,149,0
"City of Wakefield, Precinct 1",60,22,72,0
"Bessemer Township, Precinct 1",53,10,41,0
"Erwin Township, Precinct 1",19,1,32,0
"Ironwood Charter Township, Precinct 1",155,25,139,0
"Marenisco Township, Precinct 1",20,6,34,0
"Wakefield Township, Precinct 1",10,3,22,0
"Watersmeet Township, Precinct 1",78,16,72,0
