name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Brown City, Precinct 1",34,3,25,1
"City of Croswell, Precinct 1",74,9,98,0
"City of Marlette, Precinct 1",52,9,100,0
"City of Sandusky, Precinct 1",79,5,99,0
"Argyle Township, Precinct 1",12,4,27,0
"Austin Township, Precinct 1",12,4,33,0
"Bridgehampton Township, Precinct 1",14,1,14,0
"Buel Township, Precinct 1",18,3,39,0
"Custer Township, Precinct 1",17,0,35,0
"Delaware Township, Precinct 1",18,5,35,0
"Elk Township, Precinct 1",39,4,60,0
"Elmer Township, Precinct 1",13,4,19,0
"Evergreen Township, Precinct 1",4,1,13,0
"Flynn Township, Precinct 1",10,3,31,0
"Forester Township, Precinct 1",49,2,63,0
"Fremont Township, Precinct 1",23,2,37,1
"Greenleaf Township, Precinct 1",13,4,28,0
"Lamotte Township, Precinct 1",19,0,24,0
"Lexington Township, Precinct 1",76,3,78,0
"Maple Valley Township, Precinct 1",21,4,38,0
"Marion Township, Precinct 1",25,1,52,0
"Marlette Township, Precinct 1",33,2,65,0
"Minden Township, Precinct 1",14,2,37,0
"Moore Township, Precinct 1",18,0,34,0
"Sanilac Township, Precinct 1",99,18,200,0
"Speaker Township, Precinct 1",32,3,61,0
"Washington Township, Precinct 1",29,3,50,0
"Watertown Township, Precinct 1",19,2,33,0
"Wheatland Township, Precinct 1",12,0,16,0
"Worth Township, Precinct 1",51,3,60,0
