name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Brown City, Precinct 1",34,3,26,1
"City of Croswell, Precinct 1",76,9,98,0
"City of Marlette, Precinct 1",53,9,100,0
"City of Sandusky, Precinct 1",85,5,107,0
"Argyle Township, Precinct 1",12,4,27,0
"Austin Township, Precinct 1",12,4,33,0
"Bridgehampton Township, Precinct 1",15,1,16,0
"Buel Township, Precinct 1",20,3,41,0
"Custer Township, Precinct 1",19,0,39,0
"Delaware Township, Precinct 1",19,5,36,0
"Elk Township, Precinct 1",42,4,62,0
"Elmer Township, Precinct 1",13,4,21,0
"Evergreen Township, Precinct 1",4,1,13,0
"Flynn Township, Precinct 1",11,3,32,0
"Forester Township, Precinct 1",51,2,63,0
"Fremont Township, Precinct 1",23,3,37,1
"Greenleaf Township, Precinct 1",13,4,28,0
"Lamotte Township, Precinct 1",19,0,24,0
"Lexington Township, Precinct 1",163,11,318,1
"Maple Valley Township, Precinct 1",21,4,38,0
"Marion Township, Precinct 1",25,1,55,0
"Marlette Township, Precinct 1",33,2,68,0
"Minden Township, Precinct 1",14,2,37,0
"Moore Township, Precinct 1",20,0,35,0
"Sanilac Township, Precinct 1",103,18,202,0
"Speaker Township, Precinct 1",34,3,61,0
"Washington Township, Precinct 1",30,3,50,0
"Watertown Township, Precinct 1",22,2,34,0
"Wheatland Township, Precinct 1",12,0,17,0
"Worth Township, Precinct 1",154,13,264,0
