id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
550020000001,"Acme Township, Precinct 1",200,,,0,144,53,3
550020000002,"Acme Township, Precinct 2",123,,,0,94,26,3
550888000001,"Blair Township, Precinct 1",181,,,1,135,38,7
550888000002,"Blair Township, Precinct 2",96,,,0,63,23,10
550888000003,"Blair Township, Precinct 3",94,,,0,66,24,4
552380000001,"East Bay Township, Precinct 1",155,,,0,116,37,2
552380000004,"East Bay Township, Precinct 4",157,,,0,126,26,5
552380000005,"East Bay Township, Precinct 5",112,,,0,88,20,4
552380000006,"East Bay Township, Precinct 6",225,,,0,163,58,4
552802000001,"Fife Lake Township, Precinct 1",76,,,0,42,30,4
553158000001,"Garfield Township, Precinct 1",170,,,0,126,40,4
553158000002,"Garfield Township, Precinct 2",207,,,0,164,42,1
553158000003,"Garfield Township, Precinct 3",149,,,0,126,19,4
553158000004,"Garfield Township, Precinct 4",170,,,0,142,27,1
553158000005,"Garfield Township, Precinct 5",241,,,0,184,54,3
553158000006,"Garfield Township, Precinct 6",137,,,0,110,24,3
553158000007,"Garfield Township, Precinct 7",113,,,0,91,22,0
553424000001,"Grant Township, Precinct 1",124,,,1,59,61,3
553496000001,"Green Lake Township, Precinct 1",121,,,0,86,32,3
553496000002,"Green Lake Township, Precinct 2",134,,,0,87,39,8
553496000003,"Green Lake Township, Precinct 3",106,,,0,83,21,2
554924000001,"Long Lake Township, Precinct 1",316,,,0,238,68,10
554924000002,"Long Lake Township, Precinct 2",352,,,0,260,80,12
555248000001,"Mayfield Township, Precinct 1",145,,,0,82,58,5
556232000001,"Paradise Township, Precinct 1",268,,,0,149,104,15
556232000002,"Paradise Township, Precinct 2",200,,,0,114,80,6
556334000001,"Peninsula Township, Precinct 1",227,,,0,138,82,7
556334000002,"Peninsula Township, Precinct 2",244,,,0,165,74,5
558132000001,"Union Township, Precinct 1",61,,,0,31,29,1
558704000001,"Whitewater Township, Precinct 1",136,,,0,81,53,2
558034000001,"Traverse City, Precinct 1",268,,,1,201,57,9
558034000003,"Traverse City, Precinct 3",305,,,0,246,56,3
558034000007,"Traverse City, Precinct 7",266,,,0,234,29,3
558034000008,"Traverse City, Precinct 8",260,,,0,212,42,6
558034000009,"Traverse City, Precinct 9",227,,,0,165,59,3
558034000010,"Traverse City, Precinct 10",249,,,0,199,48,2
