id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
550020000001,"Acme Township, Precinct 1",589,,,0,339,235,15
550020000002,"Acme Township, Precinct 2",351,,,0,201,135,15
550888000001,"Blair Township, Precinct 1",403,,,1,245,142,15
550888000002,"Blair Township, Precinct 2",335,,,0,178,131,26
550888000003,"Blair Township, Precinct 3",285,,,0,145,124,16
552380000001,"East Bay Township, Precinct 1",478,,,0,284,180,14
552380000004,"East Bay Township, Precinct 4",518,,,0,338,159,21
552380000005,"East Bay Township, Precinct 5",390,,,0,236,127,27
552380000006,"East Bay Township, Precinct 6",894,,,0,522,344,28
552802000001,"Fife Lake Township, Precinct 1",193,,,0,94,86,13
553158000001,"Garfield Township, Precinct 1",482,,,0,285,168,29
553158000002,"Garfield Township, Precinct 2",672,,,1,379,264,28
553158000003,"Garfield Township, Precinct 3",370,,,0,247,108,15
553158000004,"Garfield Township, Precinct 4",510,,,1,309,175,25
553158000005,"Garfield Township, Precinct 5",826,,,0,459,329,38
553158000006,"Garfield Township, Precinct 6",470,,,0,258,182,30
553158000007,"Garfield Township, Precinct 7",279,,,0,180,85,14
553424000001,"Grant Township, Precinct 1",145,,,1,71,70,3
553496000001,"Green Lake Township, Precinct 1",433,,,0,256,162,15
553496000002,"Green Lake Township, Precinct 2",356,,,0,205,138,13
553496000003,"Green Lake Township, Precinct 3",320,,,0,179,127,14
554924000001,"Long Lake Township, Precinct 1",960,,,0,541,369,50
554924000002,"Long Lake Township, Precinct 2",957,,,0,543,361,53
555248000001,"Mayfield Township, Precinct 1",152,,,0,89,58,5
556232000001,"Paradise Township, Precinct 1",290,,,0,163,109,18
556232000002,"Paradise Township, Precinct 2",219,,,0,129,84,6
556334000001,"Peninsula Township, Precinct 1",837,,,0,431,377,29
556334000002,"Peninsula Township, Precinct 2",896,,,0,483,376,37
558132000001,"Union Township, Precinct 1",64,,,0,34,29,1
558704000001,"Whitewater Township, Precinct 1",470,,,0,224,230,16
558034000001,"Traverse City, Precinct 1",787,,,2,511,242,32
558034000003,"Traverse City, Precinct 3",809,,,0,551,233,25
558034000007,"Traverse City, Precinct 7",635,,,0,477,147,11
558034000008,"Traverse City, Precinct 8",712,,,0,510,176,26
558034000009,"Traverse City, Precinct 9",654,,,0,423,208,23
558034000010,"Traverse City, Precinct 10",733,,,0,478,229,26
