id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
550020000001,"Acme Township, Precinct 1",389,,,0,195,182,12
550020000002,"Acme Township, Precinct 2",228,,,0,107,109,12
550888000001,"Blair Township, Precinct 1",222,,,0,110,104,8
550888000002,"Blair Township, Precinct 2",239,,,0,115,108,16
550888000003,"Blair Township, Precinct 3",191,,,0,79,100,12
552380000001,"East Bay Township, Precinct 1",323,,,0,168,143,12
552380000004,"East Bay Township, Precinct 4",361,,,0,212,133,16
552380000005,"East Bay Township, Precinct 5",278,,,0,148,107,23
552380000006,"East Bay Township, Precinct 6",669,,,0,359,286,24
552802000001,"Fife Lake Township, Precinct 1",117,,,0,52,56,9
553158000001,"Garfield Township, Precinct 1",312,,,0,159,128,25
553158000002,"Garfield Township, Precinct 2",465,,,1,215,222,27
553158000003,"Garfield Township, Precinct 3",221,,,0,121,89,11
553158000004,"Garfield Township, Precinct 4",340,,,1,167,148,24
553158000005,"Garfield Township, Precinct 5",585,,,0,275,275,35
553158000006,"Garfield Township, Precinct 6",333,,,0,148,158,27
553158000007,"Garfield Township, Precinct 7",166,,,0,89,63,14
553424000001,"Grant Township, Precinct 1",21,,,0,12,9,0
553496000001,"Green Lake Township, Precinct 1",312,,,0,170,130,12
553496000002,"Green Lake Township, Precinct 2",222,,,0,118,99,5
553496000003,"Green Lake Township, Precinct 3",214,,,0,96,106,12
554924000001,"Long Lake Township, Precinct 1",644,,,0,303,301,40
554924000002,"Long Lake Township, Precinct 2",605,,,0,283,281,41
555248000001,"Mayfield Township, Precinct 1",7,,,0,7,0,0
556232000001,"Paradise Township, Precinct 1",22,,,0,14,5,3
556232000002,"Paradise Township, Precinct 2",19,,,0,15,4,0
556334000001,"Peninsula Township, Precinct 1",610,,,0,293,295,22
556334000002,"Peninsula Township, Precinct 2",652,,,0,318,302,32
558132000001,"Union Township, Precinct 1",3,,,0,3,0,0
558704000001,"Whitewater Township, Precinct 1",334,,,0,143,177,14
558034000001,"Traverse City, Precinct 1",519,,,1,310,185,23
558034000003,"Traverse City, Precinct 3",504,,,0,305,177,22
558034000007,"Traverse City, Precinct 7",369,,,0,243,118,8
558034000008,"Traverse City, Precinct 8",452,,,0,298,134,20
558034000009,"Traverse City, Precinct 9",427,,,0,258,149,20
558034000010,"Traverse City, Precinct 10",484,,,0,279,181,24
