id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
550020000001,"Acme Township, Precinct 1",27,,,0,15,12,0
550020000002,"Acme Township, Precinct 2",15,,,0,8,6,1
550888000001,"Blair Township, Precinct 1",29,,,0,24,5,0
550888000002,"Blair Township, Precinct 2",26,,,0,20,6,0
550888000003,"Blair Township, Precinct 3",26,,,0,18,6,2
552380000001,"East Bay Township, Precinct 1",21,,,0,17,4,0
552380000004,"East Bay Township, Precinct 4",44,,,0,29,15,0
552380000005,"East Bay Township, Precinct 5",49,,,0,31,16,2
552380000006,"East Bay Township, Precinct 6",79,,,0,52,26,1
552802000001,"Fife Lake Township, Precinct 1",29,,,0,14,11,4
553158000001,"Garfield Township, Precinct 1",28,,,0,21,6,1
553158000002,"Garfield Township, Precinct 2",22,,,0,16,6,0
553158000003,"Garfield Township, Precinct 3",26,,,0,23,3,0
553158000004,"Garfield Township, Precinct 4",44,,,0,31,12,1
553158000005,"Garfield Township, Precinct 5",39,,,0,25,14,0
553158000006,"Garfield Township, Precinct 6",29,,,0,22,7,0
553158000007,"Garfield Township, Precinct 7",18,,,0,13,5,0
553424000001,"Grant Township, Precinct 1",21,,,0,12,9,0
553496000001,"Green Lake Township, Precinct 1",46,,,0,33,12,1
553496000002,"Green Lake Township, Precinct 2",22,,,0,16,6,0
553496000003,"Green Lake Township, Precinct 3",21,,,0,14,7,0
554924000001,"Long Lake Township, Precinct 1",19,,,0,11,8,0
554924000002,"Long Lake Township, Precinct 2",31,,,0,19,9,3
555248000001,"Mayfield Township, Precinct 1",7,,,0,7,0,0
556232000001,"Paradise Township, Precinct 1",22,,,0,14,5,3
556232000002,"Paradise Township, Precinct 2",19,,,0,15,4,0
556334000001,"Peninsula Township, Precinct 1",14,,,0,11,3,0
556334000002,"Peninsula Township, Precinct 2",16,,,0,9,7,0
558132000001,"Union Township, Precinct 1",3,,,0,3,0,0
558704000001,"Whitewater Township, Precinct 1",19,,,0,12,7,0
558034000001,"Traverse City, Precinct 1",60,,,1,40,19,0
558034000003,"Traverse City, Precinct 3",43,,,0,30,12,1
558034000007,"Traverse City, Precinct 7",36,,,0,32,4,0
558034000008,"Traverse City, Precinct 8",39,,,0,30,9,0
558034000009,"Traverse City, Precinct 9",38,,,0,30,8,0
558034000010,"Traverse City, Precinct 10",42,,,0,29,11,2
