id,name,board,Kelli J. Van Ginhoven,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
130366000001,"Arvon Township, Precinct 1",,44,0,512,210,0,0,44,41.02
130534000001,"Baraga Township, Precinct 1",,112,1,1301,264,0,0,112,20.29
130534000002,"Baraga Township, Precinct 2",,110,0,1185,354,0,0,110,29.87
131860000001,"Covington Township, Precinct 1",,34,0,381,122,0,0,34,32.02
134556000001,"L'Anse Township, Precinct 1",,340,1,3226,898,0,0,340,27.84
137600000001,"Spurr Township, Precinct 1",,55,0,289,123,0,0,55,42.56
