id,name,John Moolenaar,Write-in
851488000001,"Chase Township, Precinct 1",160,1
851510000002,"Cherry Valley Township, Precinct 2",78,0
852280000003,"Dover Township, Precinct 3",52,0
852480000004,"Eden Township, Precinct 4",98,0
852526000005,"Elk Township, Precinct 5",186,0
852544000006,"Ellsworth Township, Precinct 6",115,0
854432000007,"Lake Township, Precinct 7",175,1
855748000008,"Newkirk Township, Precinct 8",107,1
856312000010,"Peacock Township, Precinct 10",88,0
856444000011,"Pinora Township, Precinct 11",110,0
856488000012,"Pleasant Plains Township, Precinct 12",170,2
857168000015,"Sauble Township, Precinct 15",79,0
857774000016,"Sweetwater Township, Precinct 16",47,0
858506000017,"Webber Township, Precinct 17",120,0
858904000019,"Yates Township, Precinct 19",49,0
