id,name,Amir Hassan,Al Lemmo,Thomas J. Smith,Write-in
1115378001001,"City of Midland, Ward 1, Precinct 1",56,20,60,0
1115378001002,"City of Midland, Ward 1, Precinct 2",40,21,69,1
1115378002003,"City of Midland, Ward 2, Precinct 3",51,19,53,0
1115378002004,"City of Midland, Ward 2, Precinct 4",69,36,55,0
1115378003005,"City of Midland, Ward 3, Precinct 5",81,40,70,0
1115378003006,"City of Midland, Ward 3, Precinct 6",101,25,75,0
1115378004007,"City of Midland, Ward 4, Precinct 7",76,43,54,2
1115378004008,"City of Midland, Ward 4, Precinct 8",84,37,64,0
1115378005009,"City of Midland, Ward 5, Precinct 9",73,35,81,1
1115378005010,"City of Midland, Ward 5, Precinct 10",103,29,64,0
1113898000001,"Homer Township, Precinct 1",46,26,47,1
1113898000002,"Homer Township, Precinct 2",60,31,67,0
1113898000003,"Homer Township, Precinct 3",71,25,74,1
1113916000001,"Hope Township, Precinct 1",84,34,95,1
1114062000001,"Ingersoll Township, Precinct 1",73,20,89,2
1114062000002,"Ingersoll Township, Precinct 2",46,23,67,0
1114176000001,"Jerome Township, Precinct 1",33,23,60,0
1114176000002,"Jerome Township, Precinct 2",54,15,85,1
1114616000001,"Larkin Township, Precinct 1",90,40,91,0
1114616000002,"Larkin Township, Precinct 2",120,51,105,2
1114664000001,"Lee Township, Precinct 1",60,29,106,0
1114664000002,"Lee Township, Precinct 2",76,20,83,0
1114768000001,"Lincoln Township, Precinct 1",129,68,139,1
1115380000001,"Midland Township, Precinct 1",91,26,141,1
1115432000001,"Mills Township, Precinct 1",99,30,100,2
1115594000001,"Mount Haley Township, Precinct 1",54,43,95,1
1116574000001,"Porter Township, Precinct 1",31,16,80,1
