id,name,Kristen McDonald Rivet,Write-in
1115378001001,"City of Midland, Ward 1, Precinct 1",21,0
1115378001002,"City of Midland, Ward 1, Precinct 2",31,0
1115378002003,"City of Midland, Ward 2, Precinct 3",28,1
1115378002004,"City of Midland, Ward 2, Precinct 4",46,0
1115378003005,"City of Midland, Ward 3, Precinct 5",37,0
1115378003006,"City of Midland, Ward 3, Precinct 6",17,0
1115378004007,"City of Midland, Ward 4, Precinct 7",33,0
1115378004008,"City of Midland, Ward 4, Precinct 8",29,1
1115378005009,"City of Midland, Ward 5, Precinct 9",25,0
1115378005010,"City of Midland, Ward 5, Precinct 10",36,1
1113898000001,"Homer Township, Precinct 1",4,0
1113898000002,"Homer Township, Precinct 2",3,0
1113898000003,"Homer Township, Precinct 3",10,1
1113916000001,"Hope Township, Precinct 1",0,0
1114062000001,"Ingersoll Township, Precinct 1",3,0
1114062000002,"Ingersoll Township, Precinct 2",3,0
1114176000001,"Jerome Township, Precinct 1",8,0
1114176000002,"Jerome Township, Precinct 2",10,0
1114616000001,"Larkin Township, Precinct 1",10,0
1114616000002,"Larkin Township, Precinct 2",20,0
1114664000001,"Lee Township, Precinct 1",8,0
1114664000002,"Lee Township, Precinct 2",2,0
1114768000001,"Lincoln Township, Precinct 1",17,0
1115380000001,"Midland Township, Precinct 1",5,0
1115432000001,"Mills Township, Precinct 1",10,0
1115594000001,"Mount Haley Township, Precinct 1",17,0
1116574000001,"Porter Township, Precinct 1",2,0
