id,name,Amir Hassan,Al Lemmo,Thomas J. Smith,Write-in
1115378001001,"City of Midland, Ward 1, Precinct 1",94,46,141,0
1115378001002,"City of Midland, Ward 1, Precinct 2",81,43,117,1
1115378002003,"City of Midland, Ward 2, Precinct 3",108,52,135,0
1115378002004,"City of Midland, Ward 2, Precinct 4",155,76,115,0
1115378003005,"City of Midland, Ward 3, Precinct 5",161,82,135,0
1115378003006,"City of Midland, Ward 3, Precinct 6",220,70,152,0
1115378004007,"City of Midland, Ward 4, Precinct 7",197,90,129,2
1115378004008,"City of Midland, Ward 4, Precinct 8",194,72,127,0
1115378005009,"City of Midland, Ward 5, Precinct 9",114,55,166,1
1115378005010,"City of Midland, Ward 5, Precinct 10",183,71,151,0
1113898000001,"Homer Township, Precinct 1",46,26,47,1
1113898000002,"Homer Township, Precinct 2",60,31,68,0
1113898000003,"Homer Township, Precinct 3",72,27,75,1
1113916000001,"Hope Township, Precinct 1",86,38,97,1
1114062000001,"Ingersoll Township, Precinct 1",76,20,91,2
1114062000002,"Ingersoll Township, Precinct 2",47,23,67,0
1114176000001,"Jerome Township, Precinct 1",74,61,131,0
1114176000002,"Jerome Township, Precinct 2",100,28,161,1
1114616000001,"Larkin Township, Precinct 1",176,75,138,1
1114616000002,"Larkin Township, Precinct 2",207,82,175,2
1114664000001,"Lee Township, Precinct 1",61,29,106,0
1114664000002,"Lee Township, Precinct 2",78,22,87,0
1114768000001,"Lincoln Township, Precinct 1",133,69,141,1
1115380000001,"Midland Township, Precinct 1",94,28,144,1
1115432000001,"Mills Township, Precinct 1",102,30,100,2
1115594000001,"Mount Haley Township, Precinct 1",55,44,97,1
1116574000001,"Porter Township, Precinct 1",32,16,81,1
