id,name,total,over_votes,under_votes,Write-in,Debbie Dingell
1255946000001,"Novi Township, Precinct 1",0,,,0,0
1255898000002,"Northville, Precinct 2",27,,,0,27
1255944000001,"Novi, Precinct 1",21,,,0,21
1255944000002,"Novi, Precinct 2",30,,,1,29
1255944000003,"Novi, Precinct 3",18,,,1,17
1255944000004,"Novi, Precinct 4",39,,,0,39
1255944000005,"Novi, Precinct 5",30,,,0,30
1255944000006,"Novi, Precinct 6",24,,,0,24
1255944000007,"Novi, Precinct 7",33,,,0,33
1255944000008,"Novi, Precinct 8",35,,,0,35
1255944000009,"Novi, Precinct 9",21,,,0,21
1255944000010,"Novi, Precinct 10",0,,,0,0
1255944000011,"Novi, Precinct 11",16,,,0,16
1255944000015,"Novi, Precinct 15",36,,,0,36
1255944000016,"Novi, Precinct 16",77,,,1,76
1255944000018,"Novi, Precinct 18",32,,,0,32
1255944000019,"Novi, Precinct 19",33,,,0,33
1255944000020,"Novi, Precinct 20",16,,,0,16
1255944000021,"Novi, Precinct 21",22,,,0,22
1255944000022,"Novi, Precinct 22",19,,,0,19
1255944000023,"Novi, Precinct 23",30,,,0,30
1255944000024,"Novi, Precinct 24",27,,,0,27
1255944000025,"Novi, Precinct 25",18,,,1,17
