id,name,ballots,registered,turnout
1256544005011,"Pontiac, Precinct 11",544,4296,12.66
1256544005012,"Pontiac, Precinct 12",720,4365,16.49
1256544006013,"Pontiac, Precinct 13",723,4557,15.87
1256544006014,"Pontiac, Precinct 14",777,4262,18.23
1256902000001,"Rochester, Precinct 1",1289,3548,36.33
1256902000002,"Rochester, Precinct 2",1533,4039,37.95
1256902000003,"Rochester, Precinct 3",1220,3288,37.10
1256903501001,"Rochester Hills, Precinct 1",1188,2572,46.19
1256903501002,"Rochester Hills, Precinct 2",1064,2508,42.42
1256903501003,"Rochester Hills, Precinct 3",956,2561,37.33
1256903501004,"Rochester Hills, Precinct 4",1218,2625,46.40
1256903501005,"Rochester Hills, Precinct 5",1142,2376,48.06
1256903501006,"Rochester Hills, Precinct 6",1242,3239,38.35
1256903502007,"Rochester Hills, Precinct 7",1994,4024,49.55
1256903502008,"Rochester Hills, Precinct 8",1668,3710,44.96
1256903502009,"Rochester Hills, Precinct 9",1468,3943,37.23
1256903502010,"Rochester Hills, Precinct 10",520,1456,35.71
1256903502011,"Rochester Hills, Precinct 11",760,2065,36.80
1256903503012,"Rochester Hills, Precinct 12",1868,4290,43.54
1256903503013,"Rochester Hills, Precinct 13",1197,3068,39.02
1256903503014,"Rochester Hills, Precinct 14",1240,3286,37.74
1256903503015,"Rochester Hills, Precinct 15",1283,3462,37.06
1256903503016,"Rochester Hills, Precinct 16",694,1784,38.90
1256903504017,"Rochester Hills, Precinct 17",1310,3507,37.35
1256903504018,"Rochester Hills, Precinct 18",611,2493,24.51
1256903504019,"Rochester Hills, Precinct 19",803,2277,35.27
1256903504020,"Rochester Hills, Precinct 20",1206,3385,35.63
1256903504021,"Rochester Hills, Precinct 21",550,1837,29.94
1257004000001,"Royal Oak, Precinct 1",1855,4475,41.45
1257004000002,"Royal Oak, Precinct 2",1165,2650,43.96
1257004000003,"Royal Oak, Precinct 3",1667,4183,39.85
1257004000004,"Royal Oak, Precinct 4",1637,3846,42.56
1257004000005,"Royal Oak, Precinct 5",1794,4150,43.23
1257004000006,"Royal Oak, Precinct 6",2289,4713,48.57
1257004000007,"Royal Oak, Precinct 7",2085,4251,49.05
1257004000008,"Royal Oak, Precinct 8",1613,4102,39.32
1257004000009,"Royal Oak, Precinct 9",1450,3726,38.92
1257004000010,"Royal Oak, Precinct 10",941,2254,41.75
1257004000011,"Royal Oak, Precinct 11",867,1844,47.02
1257004000012,"Royal Oak, Precinct 12",1020,2160,47.22
1257004000013,"Royal Oak, Precinct 13",1236,3046,40.58
1257004000014,"Royal Oak, Precinct 14",1194,3018,39.56
1257004000015,"Royal Oak, Precinct 15",677,1878,36.05
1257510000001,"South Lyon, Precinct 1",1015,2477,40.98
1257510000002,"South Lyon, Precinct 2",754,2340,32.22
1257510000003,"South Lyon, Precinct 3",985,2486,39.62
1257510000004,"South Lyon, Precinct 4",489,1722,28.40
1257510000005,"South Lyon, Precinct 5",316,878,35.99
1257490000001,"Southfield, Precinct 1",727,1736,41.88
1257490000002,"Southfield, Precinct 2",942,2125,44.33
1257490000003,"Southfield, Precinct 3",617,1825,33.81
1257490000004,"Southfield, Precinct 4",741,2334,31.75
1257490000005,"Southfield, Precinct 5",563,1316,42.78
1257490000006,"Southfield, Precinct 6",724,1705,42.46
1257490000007,"Southfield, Precinct 7",784,1829,42.86
1257490000008,"Southfield, Precinct 8",605,1477,40.96
1257490000009,"Southfield, Precinct 9",574,1964,29.23
1257490000010,"Southfield, Precinct 10",602,1774,33.93
1257490000011,"Southfield, Precinct 11",644,1980,32.53
1257490000012,"Southfield, Precinct 12",651,1645,39.57
1257490000013,"Southfield, Precinct 13",857,1823,47.01
1257490000014,"Southfield, Precinct 14",570,1689,33.75
