id,name,total,over_votes,under_votes,Write-in,Heather Smiley
1255946000001,"Novi Township, Precinct 1",1,,,0,1
1255898000002,"Northville, Precinct 2",206,,,1,205
1255944000001,"Novi, Precinct 1",152,,,0,152
1255944000002,"Novi, Precinct 2",130,,,2,128
1255944000003,"Novi, Precinct 3",100,,,0,100
1255944000004,"Novi, Precinct 4",111,,,0,111
1255944000005,"Novi, Precinct 5",88,,,0,88
1255944000006,"Novi, Precinct 6",117,,,0,117
1255944000007,"Novi, Precinct 7",88,,,0,88
1255944000008,"Novi, Precinct 8",122,,,0,122
1255944000009,"Novi, Precinct 9",151,,,0,151
1255944000010,"Novi, Precinct 10",201,,,0,201
1255944000011,"Novi, Precinct 11",53,,,0,53
1255944000015,"Novi, Precinct 15",111,,,0,111
1255944000016,"Novi, Precinct 16",290,,,0,290
1255944000018,"Novi, Precinct 18",125,,,0,125
1255944000019,"Novi, Precinct 19",149,,,1,148
1255944000020,"Novi, Precinct 20",100,,,0,100
1255944000021,"Novi, Precinct 21",120,,,0,120
1255944000022,"Novi, Precinct 22",23,,,0,23
1255944000023,"Novi, Precinct 23",103,,,1,102
1255944000024,"Novi, Precinct 24",142,,,1,141
1255944000025,"Novi, Precinct 25",97,,,0,97
