id,name,total,over_votes,under_votes,Write-in,Heather Smiley
1255946000001,"Novi Township, Precinct 1",0,,,0,0
1255898000002,"Northville, Precinct 2",199,,,1,198
1255944000001,"Novi, Precinct 1",142,,,0,142
1255944000002,"Novi, Precinct 2",118,,,2,116
1255944000003,"Novi, Precinct 3",89,,,0,89
1255944000004,"Novi, Precinct 4",101,,,0,101
1255944000005,"Novi, Precinct 5",84,,,0,84
1255944000006,"Novi, Precinct 6",113,,,0,113
1255944000007,"Novi, Precinct 7",84,,,0,84
1255944000008,"Novi, Precinct 8",115,,,0,115
1255944000009,"Novi, Precinct 9",143,,,0,143
1255944000010,"Novi, Precinct 10",200,,,0,200
1255944000011,"Novi, Precinct 11",44,,,0,44
1255944000015,"Novi, Precinct 15",98,,,0,98
1255944000016,"Novi, Precinct 16",265,,,0,265
1255944000018,"Novi, Precinct 18",116,,,0,116
1255944000019,"Novi, Precinct 19",142,,,1,141
1255944000020,"Novi, Precinct 20",92,,,0,92
1255944000021,"Novi, Precinct 21",113,,,0,113
1255944000022,"Novi, Precinct 22",19,,,0,19
1255944000023,"Novi, Precinct 23",95,,,1,94
1255944000024,"Novi, Precinct 24",129,,,1,128
1255944000025,"Novi, Precinct 25",89,,,0,89
