id,name,total,over_votes,under_votes,Write-in,Tom Barrett
1254982000001,"Lyon Township, Precinct 1",85,,,0,85
1254982000002,"Lyon Township, Precinct 2",53,,,0,53
1254982000003,"Lyon Township, Precinct 3",88,,,0,88
1254982000004,"Lyon Township, Precinct 4",129,,,0,129
1254982000005,"Lyon Township, Precinct 5",188,,,0,188
1254982000006,"Lyon Township, Precinct 6",243,,,1,242
1254982000007,"Lyon Township, Precinct 7",28,,,0,28
1254982000008,"Lyon Township, Precinct 8",214,,,0,214
1254982000009,"Lyon Township, Precinct 9",161,,,0,161
1254982000010,"Lyon Township, Precinct 10",105,,,0,105
1254982000011,"Lyon Township, Precinct 11",226,,,0,226
1255398000002,"Milford Township, Precinct 2",124,,,0,124
1255398000003,"Milford Township, Precinct 3",175,,,0,175
1255398000004,"Milford Township, Precinct 4",347,,,0,347
1255398000006,"Milford Township, Precinct 6",142,,,1,141
1257510000001,"South Lyon, Precinct 1",191,,,1,190
1257510000002,"South Lyon, Precinct 2",92,,,1,91
1257510000003,"South Lyon, Precinct 3",181,,,1,180
1257510000004,"South Lyon, Precinct 4",71,,,0,71
1257510000005,"South Lyon, Precinct 5",57,,,0,57
