id,name,total,over_votes,under_votes,Write-in,Heather Smiley
1255946000001,"Novi Township, Precinct 1",22,,,0,22
1255898000002,"Northville, Precinct 2",107,,,0,107
1255944000001,"Novi, Precinct 1",114,,,1,113
1255944000002,"Novi, Precinct 2",99,,,0,99
1255944000003,"Novi, Precinct 3",55,,,0,55
1255944000004,"Novi, Precinct 4",80,,,0,80
1255944000005,"Novi, Precinct 5",51,,,0,51
1255944000006,"Novi, Precinct 6",65,,,1,64
1255944000007,"Novi, Precinct 7",57,,,0,57
1255944000008,"Novi, Precinct 8",79,,,0,79
1255944000009,"Novi, Precinct 9",54,,,0,54
1255944000010,"Novi, Precinct 10",87,,,0,87
1255944000011,"Novi, Precinct 11",40,,,0,40
1255944000015,"Novi, Precinct 15",81,,,0,81
1255944000016,"Novi, Precinct 16",146,,,0,146
1255944000018,"Novi, Precinct 18",76,,,0,76
1255944000019,"Novi, Precinct 19",84,,,1,83
1255944000020,"Novi, Precinct 20",41,,,0,41
1255944000021,"Novi, Precinct 21",56,,,1,55
1255944000022,"Novi, Precinct 22",46,,,0,46
1255944000023,"Novi, Precinct 23",47,,,0,47
1255944000024,"Novi, Precinct 24",80,,,0,80
1255944000025,"Novi, Precinct 25",35,,,0,35
