id,name,total,over_votes,under_votes,Write-in,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib
1257492000001,"Southfield Township, Precinct 1",303,,,0,40,38,225
1257492000002,"Southfield Township, Precinct 2",368,,,1,51,63,253
1257492000003,"Southfield Township, Precinct 3",284,,,1,64,30,189
1257492000004,"Southfield Township, Precinct 4",160,,,0,35,21,104
1257492000005,"Southfield Township, Precinct 5",335,,,1,64,62,208
1257492000006,"Southfield Township, Precinct 6",126,,,0,29,17,80
1257492000007,"Southfield Township, Precinct 7",471,,,1,159,106,205
1254632000001,"Lathrup Village, Precinct 1",1011,,,0,224,87,700
1257490000001,"Southfield, Precinct 1",216,,,1,67,17,131
1257490000002,"Southfield, Precinct 2",312,,,1,85,40,186
1257490000003,"Southfield, Precinct 3",195,,,0,43,17,135
1257490000004,"Southfield, Precinct 4",261,,,0,76,18,167
1257490000005,"Southfield, Precinct 5",218,,,1,48,20,149
1257490000006,"Southfield, Precinct 6",234,,,1,66,23,144
1257490000007,"Southfield, Precinct 7",259,,,0,61,29,169
1257490000008,"Southfield, Precinct 8",211,,,0,74,14,123
1257490000009,"Southfield, Precinct 9",194,,,0,41,18,135
1257490000010,"Southfield, Precinct 10",188,,,1,43,19,125
1257490000011,"Southfield, Precinct 11",188,,,0,61,22,105
1257490000012,"Southfield, Precinct 12",223,,,1,55,22,145
1257490000013,"Southfield, Precinct 13",213,,,0,73,54,86
1257490000014,"Southfield, Precinct 14",101,,,1,37,27,36
1257490000015,"Southfield, Precinct 15",185,,,1,55,15,114
1257490000016,"Southfield, Precinct 16",217,,,0,57,21,139
1257490000017,"Southfield, Precinct 17",253,,,0,108,56,89
1257490000018,"Southfield, Precinct 18",148,,,0,50,6,92
1257490000019,"Southfield, Precinct 19",190,,,0,57,5,128
1257490000020,"Southfield, Precinct 20",209,,,0,64,12,133
1257490000021,"Southfield, Precinct 21",276,,,2,53,27,194
1257490000022,"Southfield, Precinct 22",152,,,0,53,8,91
1257490000023,"Southfield, Precinct 23",211,,,1,64,19,127
1257490000024,"Southfield, Precinct 24",194,,,0,61,23,110
1257490000025,"Southfield, Precinct 25",148,,,0,51,11,86
1257490000026,"Southfield, Precinct 26",229,,,0,103,20,106
1257490000027,"Southfield, Precinct 27",212,,,2,63,19,128
1257490000028,"Southfield, Precinct 28",128,,,0,34,8,86
1257490000029,"Southfield, Precinct 29",254,,,0,66,26,162
1257490000030,"Southfield, Precinct 30",217,,,0,50,15,152
1257490000031,"Southfield, Precinct 31",179,,,0,44,13,122
1257490000032,"Southfield, Precinct 32",204,,,0,59,24,121
1257490000033,"Southfield, Precinct 33",245,,,0,68,17,160
1257490000034,"Southfield, Precinct 34",146,,,0,37,10,99
1257490000035,"Southfield, Precinct 35",131,,,0,36,12,83
1257490000036,"Southfield, Precinct 36",123,,,0,25,12,86
