id,name,total,over_votes,under_votes,Write-in,Tom Barrett
1254982000001,"Lyon Township, Precinct 1",139,,,0,139
1254982000002,"Lyon Township, Precinct 2",95,,,0,95
1254982000003,"Lyon Township, Precinct 3",181,,,0,181
1254982000004,"Lyon Township, Precinct 4",241,,,1,240
1254982000005,"Lyon Township, Precinct 5",270,,,0,270
1254982000006,"Lyon Township, Precinct 6",386,,,2,384
1254982000007,"Lyon Township, Precinct 7",44,,,0,44
1254982000008,"Lyon Township, Precinct 8",344,,,0,344
1254982000009,"Lyon Township, Precinct 9",321,,,0,321
1254982000010,"Lyon Township, Precinct 10",171,,,0,171
1254982000011,"Lyon Township, Precinct 11",343,,,2,341
1255398000002,"Milford Township, Precinct 2",282,,,0,282
1255398000003,"Milford Township, Precinct 3",268,,,1,267
1255398000004,"Milford Township, Precinct 4",642,,,0,642
1255398000006,"Milford Township, Precinct 6",239,,,1,238
1257510000001,"South Lyon, Precinct 1",351,,,1,350
1257510000002,"South Lyon, Precinct 2",244,,,1,243
1257510000003,"South Lyon, Precinct 3",329,,,1,328
1257510000004,"South Lyon, Precinct 4",158,,,0,158
1257510000005,"South Lyon, Precinct 5",102,,,1,101
