id,name,total,over_votes,under_votes,Write-in,Tom Barrett
1254982000001,"Lyon Township, Precinct 1",75,,,0,75
1254982000002,"Lyon Township, Precinct 2",48,,,0,48
1254982000003,"Lyon Township, Precinct 3",77,,,0,77
1254982000004,"Lyon Township, Precinct 4",122,,,0,122
1254982000005,"Lyon Township, Precinct 5",170,,,0,170
1254982000006,"Lyon Township, Precinct 6",219,,,1,218
1254982000007,"Lyon Township, Precinct 7",25,,,0,25
1254982000008,"Lyon Township, Precinct 8",202,,,0,202
1254982000009,"Lyon Township, Precinct 9",152,,,0,152
1254982000010,"Lyon Township, Precinct 10",88,,,0,88
1254982000011,"Lyon Township, Precinct 11",199,,,0,199
1255398000002,"Milford Township, Precinct 2",120,,,0,120
1255398000003,"Milford Township, Precinct 3",157,,,0,157
1255398000004,"Milford Township, Precinct 4",326,,,0,326
1255398000006,"Milford Township, Precinct 6",135,,,1,134
1257510000001,"South Lyon, Precinct 1",170,,,1,169
1257510000002,"South Lyon, Precinct 2",81,,,1,80
1257510000003,"South Lyon, Precinct 3",158,,,1,157
1257510000004,"South Lyon, Precinct 4",54,,,0,54
1257510000005,"South Lyon, Precinct 5",48,,,0,48
